INDEX	name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	___comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	___quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight	n_idx	typeindex	type2index	enName	minac	maxac	calc1	calc2	calc3	typeindex__STR	type2index__STR	
wnd	Wand	wand	1wep	wnd	wnd	wnd	0		1	1	0	xxx			2	4			0	0	0	0			100		0	0	250		2	1	0	205	3910	1	316	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0	0		0	7	0	0	5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255	5	8	0	ywn	bwn	1	0		10	25	113	Wand [N]	0	0	-1	-1	-1	25	113	
ywn	Yew Wand	wand	1wep	ywn	ywn	ywn	0		1	1	0	xxx			2	8			0	0	0	0		10	100		0	0	250		12	1	0	745	17440	1	312	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0	0		0	7	0	0	5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20				1	20					255					255					255	5	8	0	bwn	gwn	1	0		11	25	113	Yew Wand [N]	0	0	-1	-1	-1	25	113	
bwn	Bone Wand	wand	1wep	bwn	bwn	bwn	0		1	1	0	xxx			3	7			0	0	0	0		-20	100		0	0	250		18	1	0	1296	34828	1	312	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0	0		0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20	3	4	2	3	20					255					255	3	4	2	3	20	1	2	0	xxx	xxx	1	0		12	25	113	Bone Wand [N]	0	0	-1	-1	-1	25	113	
gwn	Grim Wand	wand	1wep	gwn	bwn	gwn	0		1	1	0	xxx			5	11			0	0	0	0			100		0	0	250		26	1	0	2098	70048	1	312	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0	0		0	7	0	0	5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20	1	3	1	2	20					255					255	1	3	1	2	20	1	2	0	xxx	xxx	1	0		13	25	113	Grim Wand [N]	0	0	-1	-1	-1	25	113	
clb	Club	club	1wep	clb	clb	clb	0		1	1	0	xxx			1	6			0	0	0	0		-10	100		0	0	250		1	1	0	32	3032		316	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	mac	mst	1	0		14	29	113	Club [N]	0	0	-1	-1	-1	29	113	
scp	Scepter	scep	1wep	scp	mac	scp	0		2	1	0	xxx			6	11			0	0	0	0			100		25	0	250		3	1	0	350	5050		316	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20	2	2	0	gsc	wsp	1	0		15	24	113	Scepter [N]	0	0	-1	-1	-1	24	113	
gsc	Grand Scepter	scep	1wep	gsc	mac	gsc	0		4	1	0	xxx			8	18			0	0	0	0	1	10	100		37	0	250		15	1	0	1109	26635		312	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20	1	2	1	1	20					255					255	2	3	1	2	20	2	2	0	xxx	wsp	1	0		16	24	113	Grand Scepter [N]	0	0	-1	-1	-1	24	113	
wsp	War Scepter	scep	1wep	wsp	whm	wsp	0		4	1	0	xxx			10	17			0	0	0	0	1	-10	100		55	0	250		21	1	0	2323	61783		312	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20	1	2	1	2	20					255					255	1	2	1	1	20	2	2	0	xxx	xxx	1	0		17	24	113	War Scepter [N]	0	0	-1	-1	-1	24	113	
spc	Spiked Club	club	1wep	spc	clb	spc	0		3	1	0	xxx			5	8			0	0	0	0	1		100		0	0	250		4	1	0	225	5400		316	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1		1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	mac	mst	1	0		18	29	113	Spiked Club [N]	0	0	-1	-1	-1	29	113	
mac	Mace	mace	1wep	mac	mac	mac	0		4	1	0	xxx			3	10			0	0	0	0			100		27	0	250		8	1	0	463	10204		312	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3		1		1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	2	0	mst	mau	1	0		19	36	113	Mace [N]	0	0	-1	-1	-1	36	113	
mst	Morning Star	mace	1wep	mst	mac	mst	0		4	1	0	xxx			7	16			0	0	0	0	1	10	100		36	0	250		13	1	0	844	19972		312	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	fla	1	0		20	36	113	Morning Star [N]	0	0	-1	-1	-1	36	113	
fla	Flail	mace	1wep	fla	fla	fla	0		4	1	0	xxx			1	24			0	0	0	0	2	-10	100	25	41	35	250		19	1	0	1412	38828		312	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	xxx	gma	1	0		21	36	113	Flail [N]	0	0	-1	-1	-1	36	113	
whm	War Hammer	hamm	1wep	whm	whm	whm	0		4	1	0	xxx			19	29			0	0	0	0		20	110		53	0	250		25	1	0	2081	67025		312	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		178	7	0	0	3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	mau	gma	1	0		22	31	113	War Hammer [N]	0	0	-1	-1	-1	31	113	
mau	Maul	hamm	slam	mau	mau	mau	0		4	1	0	xxx			0	0		1	30	43	0	0	1	10	160		69	0	250		21	1	0	1670	48070		312	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	xxx	mau	1	0		23	31	112	Maul [N]	0	0	-1	-1	-1	31	112	
gma	Great Maul	hamm	slam	gma	mau	gma	0		3	1	0	xxx			0	0		1	38	58	0	0	2	20	160		99	0	250		32	1	0	3215	121380		312	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255	2	2	0	xxx	xxx	1	0		24	31	112	Great Maul [N]	0	0	-1	-1	-1	31	112	
ssd	Short Sword	swor	1wep	ssd	ssd	ssd	0		3	1	0	xxx			2	7			0	0	0	0			100		0	0	250		1	1	0	72	3072		316	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	scm	wsd	1	0		25	30	113	Short Sword [N]	0	0	-1	-1	-1	30	113	
scm	Scimitar	swor	1wep	scm	scm	scm	0		3	1	0	xxx			2	6			0	0	0	0		-20	100		0	21	250		5	1	0	274	6370		316	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	sbr	lsd	1	0		26	30	113	Scimitar [N]	0	0	-1	-1	-1	30	113	
sbr	Saber	swor	1wep	sbr	scm	sbr	0		3	1	0	xxx			3	8			0	0	0	0		-10	100	25	25	25	250		8	1	0	466	10228		312	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	1	2	0	flc	bsd	1	0		27	30	113	Sabre [N]	0	0	-1	-1	-1	30	113	
flc	Falchion	swor	1wep	flc	flc	flc	0		4	1	0	xxx			9	17			0	0	0	0		20	100		33	0	250		11	1	0	683	15513		312	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	bsd	wsd	1	0		28	30	113	Falchion [N]	0	0	-1	-1	-1	30	113	
crs	Crystal Sword	swor	1wep	crs	crs	crs	0		2	1	0	xxx			5	15			0	0	0	0	1		100		43	0	250		11	1	0	2127	31397		312	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0	0		0	7	0	0	1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255	1	8	0	xxx	xxx	1	0		29	30	113	Crystal Sword [N]	0	0	-1	-1	-1	30	113	
bsd	Broad Sword	swor	1wep	bsd	bsd	bsd	0		4	1	0	xxx			7	14			0	0	0	0			100		48	0	250		15	1	0	1029	25435		312	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	lsd	wsd	1	0		30	30	113	Broad Sword [N]	0	0	-1	-1	-1	30	113	
lsd	Long Sword	swor	1wep	lsd	lsd	lsd	0		4	1	0	xxx			3	19			0	0	0	0	1	-10	100	25	55	39	250		20	1	0	1520	42900		312	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255	1	2	0	wsd	wsd	1	0		31	30	113	Long Sword [N]	0	0	-1	-1	-1	30	113	
wsd	War Sword	swor	1wep	wsd	flc	wsd	0		4	1	0	xxx			8	20			0	0	0	0	1		100	25	71	45	250		27	1	0	1997	69919		312	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20	1	2	0	xxx	xxx	1	0		32	30	113	War Sword [N]	0	0	-1	-1	-1	30	113	
2hs	Two-Handed Sword	swor	slam	2hs	clm	2hs	0		4	1	0	xxx			2	9	1	1	8	17	0	0	2		125	50	35	27	250		10	1	0	644	13940		312	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	clm	gis	1	0		33	30	112	Two-Handed Sword [N]	0	0	-1	-1	-1	30	112	
clm	Claymore	swor	slam	clm	clm	clm	0		4	1	0	xxx			5	12	1	1	13	30	0	0	2	10	150		47	0	250		17	1	0	1262	32454		312	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	gis	bsw	1	0		34	30	112	Claymore [N]	0	0	-1	-1	-1	30	112	
gis	Giant Sword	swor	slam	gis	gsd	gis	0		4	1	0	xxx			3	16	1	1	9	28	0	0	2		125	50	56	34	250		21	1	0	1459	43639		312	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	1	2	0	bsw	flb	1	0		35	30	112	Giant Sword [N]	0	0	-1	-1	-1	30	112	
bsw	Bastard Sword	swor	slam	bsw	clm	bsw	0		4	1	0	xxx			7	19	1	1	20	28	0	0	1	10	150		62	0	250		24	1	0	1971	61804		312	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255	1	2	0	xxx	xxx	1	0		36	30	112	Bastard Sword [N]	0	0	-1	-1	-1	30	112	
flb	Flamberge	swor	slam	flb	clm	flb	0		4	1	0	xxx			9	15	1	1	13	26	0	0	2	-10	125	50	70	49	250		27	1	0	2400	80800		312	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0		37	30	112	Flamberge [N]	0	0	-1	-1	-1	30	112	
gsd	Great Sword	swor	slam	gsd	gsd	gsd	0		4	1	0	xxx			12	20	1	1	25	42	0	0	2	10	125	50	100	60	250		33	1	0	3451	132883		312	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0		38	30	112	Great Sword [N]	0	0	-1	-1	-1	30	112	
dgr	Dagger	knif	1wep	dgr	dgr	dgr	0		2	1	0	xxx			1	4			0	0	0	0		-20	75	75	0	0	250		3	1	0	60	4180		316	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	0	kri	bld	1	0		39	32	113	Dagger [N]	0	0	-1	-1	-1	32	113	
dir	Dirk	knif	1wep	dir	dir	dir	0		2	1	0	xxx			3	9			0	0	0	0			75	75	0	25	250		9	1	0	532	11788		312	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	kri	bld	1	0		40	32	113	Dirk [N]	0	0	-1	-1	-1	32	113	
kri	Kriss	knif	1wep	kri	dir	kri	0		2	1	0	xxx			2	11			0	0	0	0		-20	75	75	0	45	250		17	1	0	1227	31859		312	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255			1	2	20			1	1	20			1	1	20					255					255	1	2	0	xxx	xxx	1	0		41	32	113	Kris [N]	0	0	-1	-1	-1	32	113	
