INDEX	skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	___eol	str name__STR	
12	multiple shot	1	2	2	1	12		4421	skillld12	skillld12	skillan12	7	skill('Guided Arrow'.blvl) * par4											1				36	StrSkill3		usmc	256	74	StrSkill9		min(24,ln12)																						74	WeapDamsk		100+(skill('Guided Arrow'.blvl)*par4)																						40	Sksyn	skillname12	2		76	Damplev	skillname22	par4																													0	skillname12	
13	dodge	2	2	2	2	14		4425	skillld13	skillld13	skillan13																	74	StrSkill24		dm12																																																																																									0	skillname13	
14	power strike	3	2	2	3	16		4429	skillld14	skillld14	skillan14	5												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill22		toht																																										40	Sksyn	skillname14	2		76	Ltngdplev	skillname20	par8		76	Ltngdplev	skillname24	par8		76	Ltngdplev	skillname34	par8																			0	skillname14	
15	poison javelin	3	2	3	3	18		4433	skillld15	skillld15	skillan15	22												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																																									40	Sksyn	skillname15	2		76	Poisdplev	skillname25	par8																													0	skillname15	
16	exploding arrow	1	3	3	1	20	2	4437	skillxld16	skillxld16	skillan16	6												1				36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill22		toht																																										40	Sksyn	skillname16	2		76	Firedplev	skillname7	par8																													0	skillname16	
17	slow missiles	2	3	1	2	22		4441	skillld17	skillld17	skillan17																	36	StrSkillDurationSingular	StrSkill20	ln34	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln56*2	3	74	StrSkill67		ln12																																																	0	skillname17	
18	avoid	2	3	2	2	24		4445	skillld18	skillld18	skillan18																	74	StrSkill24		dm12																																																																																									0	skillname18	
19	impale	3	3	1	3	26		4449	skillld19	skillld19	skillan19	7	clc1											1				74	Cgslow		dm78		74	StrSkillDamagePercent		clc1		75	StrSkillAddedFlatPhys		pnma	pxma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	skillname19	2		76	Damplev	skillname10	par6		76	Damplev	skillname30	par6																								0	skillname19	
20	lightning bolt	3	3	3	3	28		4453	skillld20	skillld20	skillan20	21																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					74	Convphy2magalt		100		74	WeapDamsk		96*100/128																	40	Sksyn	skillname20	2		76	Ltngdplev	skillname14	par8		76	Ltngdplev	skillname24	par8		76	Ltngdplev	skillname34	par8		76	Ltngdplev	skillname35	par8														0	skillname20	
21	ice arrow	1	4	1	1	30		4457	skillxld21	skillxld21	skillan21	5												1				36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht																																					40	Sksyn	skillname21	2		76	Colddplev	skillname11	par8		76	FrezLenplev	skillname31	par7																								0	skillname21	
22	guided arrow	1	4	2	1	32		4461	skillld22	skillld22	skillan22	7	ln34 + (skill('Multiple Shot'.blvl)*par8)															36	StrSkill3		max(usmc, 1)	256	74	StrSkillDamagePercent		clc1																						18	StrSkillAlwaysHits																								40	Sksyn	skillname22	2		76	Damplev	skillname12	par8																													0	skillname22	
23	penetrate	2	4	3	2	34		4465	skillld23	skillld23	skillan23																	74	StrSkill22		ln12		75	PenetrateElePen		clc6																																															40	Sksyn	skillname23	2		76	StrSkillPenetrateSyn	skillname23	par6																													0	skillname23	
24	charged strike	3	4	2	3	36		4469	skillld24	skillld24	skillan24	17																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill72		par1 + lvl/par2																																										40	Sksyn	skillname24	2		76	Ltngdplev	skillname14	par8		76	Ltngdplev	skillname20	par8		76	Ltngdplev	skillname34	par8																			0	skillname24	
25	plague javelin	3	4	3	3	38		4473	skillld25	skillld25	skillan25	22												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht												36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25																					40	Sksyn	skillname25	2		76	Poisdplev	skillname15	par8																													0	skillname25	
26	strafe	1	5	2	1	40		4477	skillld26	skillld26	skillan26	7	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)											1				74	StrSkillDamagePercent		ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)		74	StrSkill86		min(lvl+par3,par4)		74	StrSkill22		toht																	36	StrSkill3		usmc	256																					40	Sksyn	skillname26	2		76	Damplev	skillname12	par9		76	Damplev	skillname22	par8																								0	skillname26	
27	immolation arrow	1	5	3	1	42		4481	skillxld27	skillxld27	skillan27	6												1	immolationfire			36	StrSkill3		usmc	256	36	StrSkillFireDurationSingular	StrSkill82	miss('immolationfire'.rang)	25	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill83		enma	exma	74	StrSkill22		toht							36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																					40	Sksyn	skillname27	2		76	AFDImm	skillname7	5		76	Firedplev	skillname16	par8																								0	skillname27	
28	dopplezon	2	5	1	2	44		4485	skillld28	skillld28	skillan28																	36	StrSkill3		max(usmc, 1)	256	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkillLifePercent		lvl*par4																																																																															0	skillname28	
29	evade	2	5	2	2	46		4489	skillld29	skillld29	skillan29																	74	StrSkill24		dm12																																																																																									0	skillname29	
30	fend	3	5	1	3	48		4493	skillld30	skillld30	skillan30	7	clc2											1				74	StrSkillDamagePercent		clc2		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma																36	StrSkill3		usmc	256																					40	Sksyn	skillname30	2		76	Damplev	skillname10	par6		76	Damplev	skillname19	par6																								0	skillname30	
31	freezing arrow	1	6	1	1	50	4	4497	skillxld31	skillxld31	skillan31	6												1				36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht												36	StrSkillRadiusSingular	StrSkill18	par1*2	3																					40	Sksyn	skillname31	2		76	Colddplev	skillname11	par8		76	FrezLenplev	skillname21	par7																								0	skillname31	
32	valkyrie	2	6	1	2	52		4501	skillld32	skillld32	skillan32																	36	StrSkill3		usmc	256	74	StrSkill21		(lvl-1)*par3		74	StrSkillDamagePercent		par2*(lvl-1)		74	StrSkill22		toht		13	StrSkill42		par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8							36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																					40	Sksyn	skillname32	2		76	Hpplev	skillname28	par8		76	AttRateplev	skillname23	40		18	skillname9				18	skillname13				18	skillname18				18	skillname29						0	skillname32	
33	pierce	2	6	3	2	54		4505	skillld33	skillld33	skillan33																	74	StrSkill24		dm12																																																																																									0	skillname33	
34	lightning strike	3	6	2	3	56		4509	skillld34	skillld34	skillan34	17																75	StrSkill7		enma	exma	74	StrSkill11		ln34																						36	StrSkill3		usmc	256																					40	Sksyn	skillname34	2		76	Ltngdplev	skillname14	par8		76	Ltngdplev	skillname20	par8		76	Ltngdplev	skillname24	par8																			0	skillname34	
35	lightning fury	3	6	3	3	58		4513	skillld35	skillld35	skillan35	22																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkillReleasesBolts		ln12																																										40	Sksyn	skillname35	2		76	Ltngdplev	skillname14	par8		76	Ltngdplev	skillname20	par8		76	Ltngdplev	skillname24	par8		76	Ltngdplev	skillname34	par8														0	skillname35	
36	fire bolt	1	1	2	1	0	13	4517	skillld36	skillld36	skillan36	5																75	StrSkill5		enma	exma	74	StrSkill120		min(1+(skill('Fire Bolt'.blvl)/par4), par3)																						36	StrSkill3		usmc	256																					40	Sksyn	skillname36	2		76	Firedplev	skillname47	par8		76	Firedplev	skillname56	par8		77	ProjSynergy	skillname36	1	par4																		0	skillname36	
37	warmth	1	1	3	1	2		4521	skillld37	skillld37	skillan37																	74	StrSkill88		ln12		74	ModitemHPaK		blvl																																															40	Sksyn	skillname37	2		76	SkillLAEKFlat	skillname37	1																													0	skillname37	
38	charged bolt	2	1	2	2	4	19	4525	skillld38	skillld38	skillan38	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill27		min(24,ln12)																																										40	Sksyn	skillname38	2		76	Ltngdplev	skillname49	par8		76	Ltngdplev	skillname53	par8																								0	skillname38	
39	ice bolt	3	1	1	3	6		4529	skillld39	skillld39	skillan39	5																36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	74	StrSkill120		min(1+(skill('Ice Bolt'.blvl)/par4), par3)																	36	StrSkill3		usmc	256																					40	Sksyn	skillname39	2		76	Colddplev	skillname44	par8		76	Colddplev	skillname64	par8		77	ProjSynergy	skillname39	1	par4																		0	skillname39	
40	frozen armor	3	1	3	3	8	18	4533	skillld40	skillld40	skillan40																	36	StrSkillDurationSingular	StrSkill20	ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7	25	36	StrSkillFreezeLengthSingular	StrSkill62	ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	25	74	StrSkill21		ln12		74	ModStr2uPercent		min(par9 + blvl * pa10, 25)												36	StrSkill3		usmc	256																					40	Sksyn	skillname40	2		76	FrezLenplev	skillname50	par8		76	Secplev2	skillname50	(par7 + 12)/25		76	FrezLenplev	skillname60	par8		76	Secplev2	skillname60	(par7 + 12)/25		76	SkillDRPercent	skillname40	pa10									0	skillname40	
41	inferno	1	2	1	1	10	12	4537	skillld41	skillld41	skillan41	8																74	StrSkillManaCostPerSecond		mps		36	StrSkillRangeSingular	StrSkill56	19*2	3	75	StrSkillFireDamageAveragePerSecond		enms*12/256	exms*12/256	74	StrSkill120		max(lvl/par2, par1)												74	StrSkill115		par3																						40	Sksyn	skillname41	2		76	Firedplev	skillname37	par8		76	Firedplev	skillname51	par8																								0	skillname41	
42	static field	2	2	1	2	12	21	4541	skillxld42	skillxld42	skillan42																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																										36	StrSkill3		usmc	256	74	StrSkill33		clc1																																																						0	skillname42	
43	telekinesis	2	2	3	2	14		4545	skillld43	skillld43	skillan43	5																75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256																																																										0	skillname43	
44	frost nova	3	3	1	3	16		4549	skillld44	skillld44	skillan44	6																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																																									40	Sksyn	skillname44	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname64	par8																								0	skillname44	
45	ice blast	3	2	2	3	18	16	4553	skillld45	skillld45	skillan45	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	75	StrSkill6		enma	exma	74	StrSkill120		min(1+(skill('Ice Blast'.blvl)/par4), par3)																																					40	Sksyn	skillname45	2		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		77	ProjSynergy	skillname45	1	par4																		0	skillname45	
46	blaze	1	3	1	1	20		4557	skillld46	skillld46	skillan46	9													blaze			36	StrSkill3		usmc	256	36	StrSkillBlazeDuration	StrSkillBlazeDuration	dm12	25	74	StrSkill89		ln34		36	StrSkillFireDurationSingular	StrSkill82	miss('blaze'.rang)	25	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																															40	Sksyn	skillname46	2		76	Firedplev	skillname37	par8																													0	skillname46	
47	fire ball	1	3	2	1	22	14	4561	skillld47	skillld47	skillan47	5													fireball			36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill120		min(1+(skill('Fire Ball'.blvl)/par4), par3)																	36	StrSkillRadiusSingular	StrSkill18	par1*2	3																					40	Sksyn	skillname47	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname56	par8		77	ProjSynergy	skillname47	1	par4																		0	skillname47	
48	nova	2	3	1	2	24		4565	skillld48	skillld48	skillan48	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	skillname48	2		76	Ltngdplev	skillname42	par8		76	Ltngdplev	skillname57	par8																								0	skillname48	
49	lightning	2	3	2	2	26	20	4569	skillld49	skillld49	skillan49	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	skillname49	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname53	par8																								0	skillname49	
50	shiver armor	3	3	3	3	28		4573	skillld50	skillld50	skillan50	5																36	StrSkillDurationSingular	StrSkill20	ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7	25	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	74	StrSkill21		ln12		74	ModStr2uPercent		min(par9 + blvl * pa10, 25)							36	StrSkill3		usmc	256																					40	Sksyn	skillname50	2		76	Colddplev	skillname40	par8		76	Secplev2	skillname40	(par7 + 12)/25		76	Colddplev	skillname60	par8		76	Secplev2	skillname60	(par7 + 12)/25		76	SkillDRPercent	skillname50	pa10									0	skillname50	
51	fire wall	1	4	1	1	30		4577	skillld51	skillld51	skillan51	9													firewallmaker			36	StrSkill3		usmc	256	36	StrSkillRangeSingular	StrSkill56	m1rn*2	3	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																36	StrSkillFireDurationSingular	StrSkill82	miss('firewall'.rang)	25	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																40	Sksyn	skillname51	2		76	Firedplev	skillname37	par8		76	Firedplev	skillname41	par7																								0	skillname51	
52	enchant	1	4	3	1	32	15	4581	skillld52	skillld52	skillan52																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill5		enma	exma	74	StrSkill22		toht																																					40	Sksyn	skillname52	2		76	Firedplev	skillname37	par8																													0	skillname52	
53	chain lightning	2	4	2	2	34		4585	skillld53	skillld53	skillan53	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill11		ln34/par5																																										40	Sksyn	skillname53	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8																								0	skillname53	
54	teleport	2	4	3	2	36		4589	skillld54	skillld54	skillan54																	36	StrSkill3		max(usmc, 1)	256																																																																																								0	skillname54	
55	glacial spike	3	4	2	3	38	17	4593	skillld55	skillld55	skillan55	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill29	par9 + (lvl - 1) * par10 * (100 + skill('Blizzard'.blvl) * par7) / 100	25	75	StrSkill6		enma	exma	74	StrSkill120		min(1+(skill('Glacial Spike'.blvl)/par4), par3)												36	StrSkillRadiusSingular	StrSkill18	par5 + (lvl - 1) * par6 * 2	3																					40	Sksyn	skillname55	2		76	Colddplev	skillname45	par8		76	Colddplev	skillname59	par8		76	FrezLenplev	skillname59	par7		77	ProjSynergy	skillname55	1	par4													0	skillname55	
56	meteor	1	5	2	1	40		4597	skillld56	skillld56	skillan56	5													meteorfire			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma																36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																40	Sksyn	skillname56	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8		76	AFDImm	skillname41	3																			0	skillname56	
57	thunder storm	2	5	1	2	42		4601	skillld57	skillld57	skillan57	5																36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par7*2	3																40	Sksyn	skillname57	2		76	Ltngdplev	skillname42	par8		76	Ltngdplev	skillname48	par8																								0	skillname57	
58	energy shield	2	5	3	2	44		4605	skillld58	skillld58	skillan58																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkill41		min(edmn,par4)																						36	StrSkill3		usmc	256	74	StrSkillManaConsumedRatio		clc2*100/16																	40	Sksyn	skillname58	2		76	StrSkillManaConsumedSynergy	skillname43	-6.25																													0	skillname58	
59	blizzard	3	5	2	3	46		4609	skillld59	skillld59	skillan59	5													blizzardcenter			36	StrSkill3		usmc	256	75	StrSkill6		enma	exma																					36	StrSkillDurationSingular	StrSkill20	miss('blizzardcenter'.rang)	25	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25																40	Sksyn	skillname59	2		76	Colddplev	skillname45	par8		76	Colddplev	skillname55	par8																								0	skillname59	
60	chilling armor	3	5	3	3	48	25	4613	skillld60	skillld60	skillan60	5																36	StrSkillDurationSingular	StrSkill20	ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7	25	75	StrSkill6		enma	exma	74	StrSkill21		ln12		74	ModStr2uPercent		min(par9 + blvl * pa10, 25)												36	StrSkill3		usmc	256																					40	Sksyn	skillname60	2		76	Colddplev	skillname40	par8		76	Secplev2	skillname40	(par7 + 12)/25		76	Colddplev	skillname50	par8		76	Secplev2	skillname50	(par7 + 12)/25		76	SkillDRPercent	skillname60	pa10									0	skillname60	
61	fire mastery	1	6	2	1	50		4617	skillld61	skillld61	skillan61																	74	Moditemenresfiresk		pst2		74	StrSkillFireDamagePercent		pst1																																																																																				0	skillsname61	
62	hydra	1	6	3	1	52		4621	skillld62	skillld62	skillan62	5																36	StrSkill3		usmc	256	75	StrSkill113		enma	exma																					36	StrSkillDurationSingular	StrSkill20	ln12	25																					40	Sksyn	skillname62	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8																								0	skillname62	
63	lightning mastery	2	6	2	2	54		4625	skillxld63	skillxld63	skillan63																	74	Moditemenresltngsk		pst2		74	StrSkillLightningDamagePercent		pst1																																																																																				0	skillname63	
64	frozen orb	3	6	1	3	56		4629	skillld64	skillld64	skillan64	5																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																					40	Sksyn	skillname64	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname44	par8																								0	skillname64	
65	cold mastery	3	6	2	3	58		4633	skillld65	skillld65	skillan65																	74	Moditemenrescoldsk		pst2		74	StrSkillColdDamagePercent		pst1																																																																																				0	skillname65	
66	amplify damage	1	1	2	1	0		4637	skillld66	skillld66	skillan66																	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256	74	PhysDamageResist		min(ln56,100) * (0-1)																																																						0	skillname66	
67	teeth	2	1	2	2	2		4641	skillld67	skillld67	skillan67	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkill28		min(ln12,24)																																										40	Sksyn	skillname67	2		76	Magdplev	skillname78	par8		76	Magdplev	skillname84	par8		76	Magdplev	skillname88	par8		76	Magdplev	skillname93	par8		75	EnergySynergy		1	par7	76	Magdplev	skillnameskele	par9				0	skillname67	
68	bone armor	2	1	3	2	4		4645	skillld68	skillld68	skillan68																	36	StrSkill3		usmc	256	74	StrSkill40		(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)		74	ModStr1i		ln34																																										40	Sksyn	skillname68	2		76	Damabsplev	skillname78	par8		76	Damabsplev	skillname88	par8		76	StrSkillDefensePerLevelFlat	skillname68	par4																			0	skillname68	
69	skeleton mastery	3	1	1	3	6		4649	skillld69	skillld69	skillan69																	74	StrSkillSleketonMasteryMonsterDamage		lvl*par4		74	StrSkill97		lvl*par3		74	StrSkill43		(lvl < 2) ? 0 : skill('Skeleton Mastery'.lvl)		74	StrSkill96	StrSkill42	lvl*par1		74	StrSkillSleketonMasterySkeletonDamage		lvl*par2		74	StrSkill95		lvl*par1																																																																0	skillname69	
70	raise skeleton	3	1	3	3	8		4653	skillld70	skillld70	skillan70																	36	StrSkill3		usmc	256	36	StrSkill94	StrSkill44	min(1+(lvl-1)/2,14)		74	StrSkillDefense		5+(lvl+skill('Skeleton Mastery'.lvl))*par5		74	StrSkillDamagePercent		((lvl < 4) ? 0 : ((lvl-3)*par3))		74	StrSkillAttackRating		5+(lvl+skill('Skeleton Mastery'.lvl))*par4		13	StrSkill42		(lvl < 4) ? 0 : (par2 * (lvl - 3))	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1)	34	StrSkill4																								40	Sksyn	skillname70	2		18	skillname69				18	skillname89				76	Damplev	skillname80	par8																			0	skillname70	
71	dim vision	1	2	1	1	10		4657	skillld71	skillld71	skillan71																	31	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256																																																										0	skillname71	
72	weaken	1	2	3	1	12		4661	skillld72	skillld72	skillan72																	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill38		ln56		74	MagDamageResist		max(ln78,0-100)												36	StrSkill3		usmc	256																																																										0	skillname72	
73	poison dagger	2	1	1	2	14		4665	skillld73	skillld73	skillan73	5												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																					40	Sksyn	skillname73	2		76	Poisdplev	skillname83	par8		76	Poisdplev	skillname92	par8																								0	skillname73	
74	corpse explosion	2	2	2	2	16		4669	skillld74	skillld74	skillan74																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln34	3																					75	StrSkill46		par1	par2																																																										0	skillname74	
