INDEX	Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	___ItemProbSum	___ItemProbTotal	___TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	___eol	
Jewelry Orbs Single	Jewelry Orbs Single	0	0	1	0	0	0	0	0	Infusion Orb (Normal)	4	Assemblage Orb (Normal)	1	Conversion Orb (Normal)	1		0		0		0		0		0		0		0						1	0	
Jewelry Orbs Stack	Jewelry Orbs Stack	0	0	1	0	0	0	0	0	Infusion Orb	4	Assemblage Orb	1	Conversion Orb	1		0		0		0		0		0		0		0						1	0	
Sunder Charms	Sunder Charms	0	0	1	0	0	0	0	1414	Cold Rupture	1	Flame Rift	1	Crack of the Heavens	1	Rotting Fissure	1	Bone Break	1	Black Cleft	1		0		0		0		0						1	0	
Norm TZ Generic	Norm TZ Generic	0	0	1	0	0	0	0	114	Corruption Orb	1		0		0		0		0		0		0		0		0		0						1	0	
NMH Boss	NMH Boss	0	0	1	0	0	0	0	114	Socket Orb	1		0		0		0		0		0		0		0		0		0						1	0	
NM TZ Generic	NM TZ Generic	0	0	1	0	0	0	0	114	Socket Orb	1	Corruption Orb	1		0		0		0		0		0		0		0		0						1	0	
Hell TZ Generic	Hell TZ Generic	0	0	1	0	0	0	0	740	Gem Cluster	7	Socket Orb	7	Corruption Orb	7	Pandemonium Keys	4	Shadow Orb	1		0		0		0		0		0						1	0	
Hell TZ Boss	Hell TZ Boss	0	0	1	0	0	0	0	750	Gem Cluster	7	Socket Orb	7	Corruption Orb	7	Shadow Orb	1		0		0		0		0		0		0						1	0	
Jewelry A	Jewelry A	0	0	1	0	0	0	0	10	rin	140	amu	80	jew	40	cm1	40	cm2	40	cm3	40	Jewelry Orbs Single	20		0		0		0							0	
Jewelry B	Jewelry B	0	0	1	0	0	0	0	15	rin	140	amu	80	jew	50	cm1	40	cm2	40	cm3	40	Jewelry Orbs Stack	25		0		0		0							0	
Jewelry C	Jewelry C	0	0	1	0	0	0	0	20	rin	140	amu	80	jew	60	cm3	40	cm2	40	cm1	40	Jewelry Orbs Stack	30		0		0		0							0	
Gem	Gem	0	0	1	0	0	0	0	0	gmm	1	gmt	1	gms	1	gme	1	gmd	1	gmr	1	gmk	1		0		0		0							0	
Gem Stack	Gem Stack	0	0	0	0	0	0	0	0	1am	1	1tp	1	1sa	1	1em	1	1di	1	1rb	1	1sk	1		0		0		0							0	
Misc	Misc	0	0	1	0	0	0	0	0	tsc	1	isc	1	Void	2		0		0		0		0		0		0		0							0	
Potion 1	Potion 1	0	0	1	0	0	0	0	0	hp1	10	hp2	5	mp1	10	mp2	5	rvs	2	Void	8		0		0		0		0							0	
Potion 2	Potion 2	0	0	1	0	0	0	0	0	hp2	10	hp3	5	mp2	10	mp3	5	rvs	2	Void	16		0		0		0		0							0	
Potion 3	Potion 3	0	0	1	0	0	0	0	0	hp3	10	hp4	5	mp3	10	mp4	5	rvs	2	Void	32		0		0		0		0							0	
Potion 4	Potion 4	0	0	1	0	0	0	0	0	hp5	10	mp5	10	rvl	2	Void	32		0		0		0		0		0		0							0	
Normal Potion	Normal Potion	12	0	2	0	0	0	0	0	Potion 2	1		0		0		0		0		0		0		0		0		0							0	
Good Potion	Good Potion	12	40	2	0	0	0	0	0	Potion 3	1		0		0		0		0		0		0		0		0		0							0	
Super Potion	Super Potion	12	70	2	0	0	0	0	0	Potion 4	1		0		0		0		0		0		0		0		0		0							0	
Runes 1	Runes 1	0	0	1	0	0	0	0	0	s01	3	s02	2		0		0		0		0		0		0		0		0							0	
Runes 2	Runes 2	0	0	1	0	0	0	0	0	s03	3	s04	2	Runes 1	2		0		0		0		0		0		0		0							0	
Runes 3	Runes 3	0	0	1	0	0	0	0	0	s05	3	s06	2	Runes 2	5		0		0		0		0		0		0		0							0	
Runes 4	Runes 4	0	0	1	0	0	0	0	0	s07	3	s08	2	Runes 3	7		0		0		0		0		0		0		0							0	
Runes 5	Runes 5	0	0	1	0	0	0	0	0	s09	3	s10	2	Runes 4	12		0		0		0		0		0		0		0							0	
Runes 6	Runes 6	0	0	1	0	0	0	0	0	s11	3	s12	2	Runes 5	25		0		0		0		0		0		0		0							0	
Runes 7	Runes 7	0	0	1	0	0	0	0	0	s13	3	s14	2	Runes 6	45		0		0		0		0		0		0		0							0	
Runes 8	Runes 8	0	0	1	0	0	0	0	0	s15	3	s16	2	Runes 7	50		0		0		0		0		0		0		0							0	
Runes 9	Runes 9	0	0	1	0	0	0	0	0	s17	3	s18	2	Runes 8	70		0		0		0		0		0		0		0							0	
Runes 10	Runes 10	0	0	1	0	0	0	0	0	s19	3	s20	2	Runes 9	90		0		0		0		0		0		0		0							0	
Runes 11	Runes 11	0	0	1	0	0	0	0	0	s21	3	s22	2	Runes 10	120		0		0		0		0		0		0		0							0	
Runes 12	Runes 12	0	0	1	0	0	0	0	0	s23	3	s24	2	Runes 11	150		0		0		0		0		0		0		0							0	
Runes 13	Runes 13	0	0	1	0	0	0	0	0	s25	3	s26	2	Runes 12	180		0		0		0		0		0		0		0							0	
Runes 14	Runes 14	0	0	1	0	0	0	0	0	s27	3	s28	2	Runes 13	210		0		0		0		0		0		0		0							0	
Runes 15	Runes 15	0	0	1	0	0	0	0	0	s29	3	s30	2	Runes 14	240		0		0		0		0		0		0		0							0	
Runes 16	Runes 16	0	0	1	0	0	0	0	0	s31	3	s32	2	Runes 15	260		0		0		0		0		0		0		0							0	
Runes 17	Runes 17	0	0	1	0	0	0	0	0	s33	1	Runes 16	280		0		0		0		0		0		0		0		0							0	
Act 1 Equip A	Act 1 Equip A	1	0	1	0	0	0	0	1	weap3	7	armo3	7		0		0		0		0		0		0		0		0							0	
Act 1 Equip B	Act 1 Equip B	1	5	1	0	0	0	0	1	weap3	3	armo3	3	weap6	7	armo6	7		0		0		0		0		0		0							0	
Act 1 Equip C	Act 1 Equip C	1	9	1	0	0	0	0	1	weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1		0		0							0	
Act 2 Equip A	Act 2 Equip A	1	12	1	0	0	0	0	1	weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30		0	36	66	0.4545				0	
Act 2 Equip B	Act 2 Equip B	1	15	1	0	0	0	0	1	weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60		0	36	96	0.625				0	
Act 2 Equip C	Act 2 Equip C	1	18	1	0	0	0	0	1	weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80		0	36	116	0.6897				0	
Act 3 Equip A	Act 3 Equip A	1	20	1	0	0	0	0	1	weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100		0	36	136	0.7353				0	
Act 3 Equip B	Act 3 Equip B	1	22	1	0	0	0	0	1	weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200		0	36	236	0.8475				0	
Act 3 Equip C	Act 3 Equip C	1	24	1	0	0	0	0	1	weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340		0	36	376	0.9043				0	
Act 4 Equip A	Act 4 Equip A	1	26	1	0	0	0	0	1	weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430		0	33	463	0.9287				0	
Act 4 Equip B	Act 4 Equip B	1	29	1	0	0	0	0	1	weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500		0	32	532	0.9398				0	
Act 5 Equip A	Act 5 Equip A	1	32	1	0	0	0	0	1	weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629		0	41	670	0.9388				0	
Act 5 Equip B	Act 5 Equip B	1	34	1	0	0	0	0	1	weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731		0	35	766	0.9543				0	
Act 5 Equip C	Act 5 Equip C	1	36	1	0	0	0	0	1	weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833		0	35	868	0.9597				0	
Act 1 (N) Equip A	Act 1 (N) Equip A	1	38	1	0	0	0	0	1	weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935		0	36	971	0.9629				0	
Act 1 (N) Equip B	Act 1 (N) Equip B	1	40	1	0	0	0	0	1	weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105		0	42	1147	0.9634				0	
Act 1 (N) Equip C	Act 1 (N) Equip C	1	42	1	0	0	0	0	1	weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020		0	36	1056	0.9659				0	
Act 2 (N) Equip A	Act 2 (N) Equip A	1	44	1	0	0	0	0	1	weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233		0	42	1275	0.9671				0	
Act 2 (N) Equip B	Act 2 (N) Equip B	1	46	1	0	0	0	0	1	weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105		0	36	1141	0.9684				0	
Act 2 (N) Equip C	Act 2 (N) Equip C	1	48	1	0	0	0	0	1	weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318		0	42	1360	0.9691				0	
Act 3 (N) Equip A	Act 3 (N) Equip A	1	50	1	0	0	0	0	1	weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Equip B	1190		0	36	1226	0.9706				0	
Act 3 (N) Equip B	Act 3 (N) Equip B	1	52	1	0	0	0	0	1	weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	6	armo51	3	Act 3 (N) Equip A	1445		0	42	1487	0.9718				0	
Act 3 (N) Equip C	Act 3 (N) Equip C	1	54	1	0	0	0	0	1	weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Equip A	1275		0	36	1311	0.9725				0	
Act 4 (N) Equip A	Act 4 (N) Equip A	1	56	1	0	0	0	0	1	weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Equip B	1530		0	42	1572	0.9733				0	
Act 4 (N) Equip B	Act 4 (N) Equip B	1	58	1	0	0	0	0	1	weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Equip A	1360		0	36	1396	0.9742				0	
Act 4 (N) Equip C	Act 4 (N) Equip C	1	60	1	0	0	0	0	1	weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	6	armo57	3	Act 4 (N) Equip A	1658		0	42	1700	0.9753				0	
Act 5 (N) Equip A	Act 5 (N) Equip A	1	62	1	0	0	0	0	1	weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Equip B	1445		0	36	1481	0.9757				0	
Act 5 (N) Equip B	Act 5 (N) Equip B	1	64	1	0	0	0	0	1	weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Equip A	1743		0	42	1785	0.9765				0	
Act 5 (N) Equip C	Act 5 (N) Equip C	1	66	1	0	0	0	0	1	weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Equip B	1530		0	36	1566	0.977				0	
Act 1 (H) Equip A	Act 1 (H) Equip A	1	68	1	0	0	0	0	1	weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Equip C	1785		0	42	1827	0.977				0	
Act 1 (H) Equip B	Act 1 (H) Equip B	1	70	1	0	0	0	0	1	weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Equip A	1530		0	36	1566	0.977				0	
Act 1 (H) Equip C	Act 1 (H) Equip C	1	71	1	0	0	0	0	1	weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	6	armo66	3	Act 1 (H) Equip A	1785		0	42	1827	0.977				0	
Act 2 (H) Equip A	Act 2 (H) Equip A	1	73	1	0	0	0	0	1	weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Equip B	1530		0	36	1566	0.977				0	
Act 2 (H) Equip B	Act 2 (H) Equip B	1	75	1	0	0	0	0	1	weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	6	armo69	3	Act 2 (H) Equip A	1785		0	42	1827	0.977				0	
Act 2 (H) Equip C	Act 2 (H) Equip C	1	76	1	0	0	0	0	1	weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Equip A	1530		0	36	1566	0.977				0	
Act 3 (H) Equip A	Act 3 (H) Equip A	1	77	1	0	0	0	0	1	weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Equip B	1785		0	42	1827	0.977				0	
Act 3 (H) Equip B	Act 3 (H) Equip B	1	78	1	0	0	0	0	1	weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Equip A	1530		0	36	1566	0.977				0	
Act 3 (H) Equip C	Act 3 (H) Equip C	1	79	1	0	0	0	0	1	weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	6	armo75	3	Act 3 (H) Equip A	1785		0	42	1827	0.977				0	
Act 4 (H) Equip A	Act 4 (H) Equip A	1	80	1	0	0	0	0	1	weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Equip B	1530		0	36	1566	0.977				0	
Act 4 (H) Equip B	Act 4 (H) Equip B	1	81	1	0	0	0	0	1	weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	6	armo78	3	Act 4 (H) Equip A	1785		0	42	1827	0.977				0	
Act 4 (H) Equip C	Act 4 (H) Equip C	1	82	1	0	0	0	0	1	weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Equip A	1530		0	36	1566	0.977				0	
Act 5 (H) Equip A	Act 5 (H) Equip A	1	83	1	0	0	0	0	1	weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Equip B	1530		0	36	1566	0.977				0	
Act 5 (H) Equip B	Act 5 (H) Equip B	1	84	1	0	0	0	0	1	weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Equip A	1530		0	36	1566	0.977				0	
Act 5 (H) Equip C	Act 5 (H) Equip C	1	85	1	0	0	0	0	1	weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Equip B	1530		0	35	1565	0.9776				0	
Act 1 Melee A	Act 1 Melee A	2	0	1	0	0	0	0	10	mele3	7	armo3	7		0		0		0		0		0		0		0		0							0	
Act 1 Melee B	Act 1 Melee B	2	5	1	0	0	0	0	10	mele3	3	armo3	3	mele6	7	armo6	7		0		0		0		0		0		0							0	
Act 1 Melee C	Act 1 Melee C	2	9	1	0	0	0	0	10	mele3	2	armo3	1	mele6	6	armo6	3	mele9	14	armo9	7	mele12	2	armo12	1		0		0							0	
Act 2 Melee A	Act 2 Melee A	2	12	1	0	0	0	0	10	mele6	2	armo6	1	mele9	6	armo9	3	mele12	14	armo12	7	mele15	2	armo15	1	Act 1 Melee C	30		0	36	66	0.4545				0	
Act 2 Melee B	Act 2 Melee B	2	15	1	0	0	0	0	10	mele9	2	armo9	1	mele12	6	armo12	3	mele15	14	armo15	7	mele18	2	armo18	1	Act 2 Melee A	60		0	36	96	0.625				0	
Act 2 Melee C	Act 2 Melee C	2	18	1	0	0	0	0	10	mele12	2	armo12	1	mele15	6	armo15	3	mele18	14	armo18	7	mele21	2	armo21	1	Act 2 Melee B	90		0	36	126	0.7143				0	
Act 3 Melee A	Act 3 Melee A	2	20	1	0	0	0	0	10	mele15	2	armo15	1	mele18	6	armo18	3	mele21	14	armo21	7	mele24	2	armo24	1	Act 2 Melee C	120		0	36	156	0.7692				0	
Act 3 Melee B	Act 3 Melee B	2	22	1	0	0	0	0	10	mele18	2	armo18	1	mele21	6	armo21	3	mele24	14	armo24	7	mele27	2	armo27	1	Act 3 Melee A	150		0	36	186	0.8065				0	
Act 3 Melee C	Act 3 Melee C	2	24	1	0	0	0	0	10	mele21	2	armo21	1	mele24	6	armo24	3	mele27	14	armo27	7	mele30	2	armo30	1	Act 3 Melee B	180		0	36	216	0.8333				0	
Act 4 Melee A	Act 4 Melee A	2	26	1	0	0	0	0	10	mele24	2	armo24	1	mele27	6	armo27	3	mele30	14	armo30	4	mele33	2	armo33	1	Act 3 Melee C	210		0	33	243	0.8642				0	
Act 4 Melee B	Act 4 Melee B	2	29	1	0	0	0	0	10	mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	2	armo36	1	Act 4 Melee A	260		0	32	292	0.8904				0	
Act 5 Melee A	Act 5 Melee A	2	32	1	0	0	0	0	10	mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	7	armo36	5	Act 4 Melee B	400		0	41	441	0.907				0	
Act 5 Melee B	Act 5 Melee B	2	34	1	0	0	0	0	10	mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee A	489		0	35	524	0.9332				0	
Act 5 Melee C	Act 5 Melee C	2	36	1	0	0	0	0	10	mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee B	629		0	35	664	0.9473				0	
Act 1 (N) Melee A	Act 1 (N) Melee A	2	38	1	0	0	0	0	10	weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Melee C	769		0	36	805	0.9553				0	
Act 1 (N) Melee B	Act 1 (N) Melee B	2	40	1	0	0	0	0	10	weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Melee A	935		0	36	971	0.9629				0	
Act 2 (N) Melee A	Act 2 (N) Melee A	2	42	1	0	0	0	0	10	weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Melee B	1148		0	42	1190	0.9647				0	
Act 2 (N) Melee B	Act 2 (N) Melee B	2	44	1	0	0	0	0	10	weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Melee A	1020		0	36	1056	0.9659				0	
Act 3 (N) Melee A	Act 3 (N) Melee A	2	46	1	0	0	0	0	10	weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Melee B	1063		0	36	1099	0.9672				0	
Act 3 (N) Melee B	Act 3 (N) Melee B	2	48	1	0	0	0	0	10	weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Melee A	1105		0	36	1141	0.9684				0	
Act 4 (N) Melee A	Act 4 (N) Melee A	2	51	1	0	0	0	0	10	weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Melee B	1339		0	42	1381	0.9696				0	
Act 4 (N) Melee B	Act 4 (N) Melee B	2	54	1	0	0	0	0	10	weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Melee A	1190		0	36	1226	0.9706				0	
Act 5 (N) Melee A	Act 5 (N) Melee A	2	57	1	0	0	0	0	10	weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Melee B	1275		0	36	1311	0.9725				0	
Act 5 (N) Melee B	Act 5 (N) Melee B	2	60	1	0	0	0	0	10	weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Melee A	1743		0	42	1785	0.9765				0	
Act 5 (N) Melee C	Act 5 (N) Melee C	2	63	1	0	0	0	0	10	weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Melee B	1530		0	36	1566	0.977				0	
Act 1 (H) Melee A	Act 1 (H) Melee A	2	66	1	0	0	0	0	10	weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Melee C	1781		0	42	1823	0.977				0	
Act 1 (H) Melee B	Act 1 (H) Melee B	2	68	1	0	0	0	0	10	weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Melee A	1530		0	36	1566	0.977				0	
Act 2 (H) Melee A	Act 2 (H) Melee A	2	71	1	0	0	0	0	10	weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Melee B	1530		0	36	1566	0.977				0	
Act 2 (H) Melee B	Act 2 (H) Melee B	2	73	1	0	0	0	0	10	weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Melee A	1530		0	36	1566	0.977				0	
Act 3 (H) Melee A	Act 3 (H) Melee A	2	75	1	0	0	0	0	10	weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Melee B	1781		0	42	1823	0.977				0	
Act 3 (H) Melee B	Act 3 (H) Melee B	2	77	1	0	0	0	0	10	weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Melee A	1530		0	36	1566	0.977				0	
Act 4 (H) Melee A	Act 4 (H) Melee A	2	79	1	0	0	0	0	10	weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Melee B	1530		0	36	1566	0.977				0	
Act 4 (H) Melee B	Act 4 (H) Melee B	2	80	1	0	0	0	0	10	weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Melee A	1530		0	36	1566	0.977				0	
Act 5 (H) Melee A	Act 5 (H) Melee A	2	81	1	0	0	0	0	10	weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Melee B	1530		0	36	1566	0.977				0	
Act 5 (H) Melee B	Act 5 (H) Melee B	2	83	1	0	0	0	0	10	weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Melee A	1530		0	36	1566	0.977				0	
Act 5 (H) Melee C	Act 5 (H) Melee C	2	85	1	0	0	0	0	10	weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Melee B	1530		0	35	1565	0.9776				0	
Act 1 Bow A	Act 1 Bow A	3	0	1	0	0	0	0	10	bow3	36		0		0		0		0		0		0		0		0		0							0	
Act 1 Bow B	Act 1 Bow B	3	5	1	0	0	0	0	10	bow3	20	bow6	16		0		0		0		0		0		0		0		0							0	
Act 1 Bow C	Act 1 Bow C	3	9	1	0	0	0	0	10	bow3	10	bow6	16	bow9	10		0		0		0		0		0		0		0							0	
Act 2 Bow A	Act 2 Bow A	3	12	1	0	0	0	0	10	bow3	3	bow6	15	bow9	15	bow12	3		0		0		0		0		0		0							0	
Act 2 Bow B	Act 2 Bow B	3	15	1	0	0	0	0	10	bow3	1	bow6	7	bow9	20	bow12	7	bow15	1		0		0		0		0		0							0	
