INDEX	Stat	___ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	___eol	1.09 - Save Bits	1.09 - Save Add	op stat1__STR	op stat2__STR	op stat3__STR	descstrpos__STR	descstrneg__STR	descstr2__STR	
10	stamina	10			32			1	0	21								8			0	0	0	1	0	0	65535	0	0	0	1	maxstamina						0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
11	maxstamina	11			32			1	0	21		1	1	0		75	20	8	8	32	8	32	0		0	0	65535	0	0	0								51	19	0	10001	10001	5382									0	0	0	65535	65535	65535	ModStr5d	ModStr5d		
12	level	12			9			1	0	7											0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
13	experience	13			32			1	0	32											0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
14	gold	14			32			1	0	25											0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
15	goldbank	15			32			1	0	25											0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
16	item_armor_percent	16		1	11											47	20		9	0	9	0	0		13	0	65535	0	0	0								74	19	0	3520	3520	5382									0	0	0	armorclass	65535	65535	Modstr2v	Modstr2v		
17	item_maxdamage_percent	17		1	11											45	20		9	0	9	0	0		13	0	65535	0	0	0			1					129	19	0	3508	3508	5382									0	0	0	maxdamage	secondary_maxdamage	item_throw_maxdamage	ModStr2j	ModStr2j		
18	item_mindamage_percent	18		1	11											45	20		9	0	9	0	0		13	0	65535	0	0	0			1					130	19	0	3509	3509	5382									0	0	0	mindamage	secondary_mindamage	item_throw_mindamage	ModStr2k	ModStr2k		
19	tohit	19		1	16											15	10		10		10	0	0		0	0	65535	0	0	0			1					115	19	0	3480	3480	5382									0	0	0	65535	65535	65535	ModStr1h	ModStr1h		
20	toblock	20		1	10											89	204		7	0	7	0	0		0	0	65535	0	0	0								134	19	0	3531	3531	5382									0	0	0	65535	65535	65535	ModStr3g	ModStr3g		
21	mindamage	21		1	16											122	25		6	0	8	0	0		0	0	65535	0	0	0			1					127	19	0	3479	3479	5382									0	0	0	65535	65535	65535	ModStr1g	ModStr1g		
22	maxdamage	22		1	16											94	16		7	0	9	0	0		0	0	65535	0	0	0			1					126	19	0	3478	3478	5382									0	0	0	65535	65535	65535	ModStr1f	ModStr1f		
23	secondary_mindamage	23		1	16											97	15		6	0	8	0	0		0	0	65535	0	0	0			1					124	19	0	3479	3479	5382									0	0	0	65535	65535	65535	ModStr1g	ModStr1g		
24	secondary_maxdamage	24		1	16											85	11		7	0	9	0	0		0	0	65535	0	0	0			1					123	19	0	3478	3478	5382									0	0	0	65535	65535	65535	ModStr1f	ModStr1f		
25	damagepercent	25		1	12											45	40		8	0	8	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
26	manarecovery	26																	8	0	8	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
27	manarecoverybonus	27		1	16														8	0	8	0	0		0	0	65535	0	0	0								52	19	0	3555	3555	5382								2	0	0	0	65535	65535	65535	ModStr4g	ModStr4g		
28	staminarecoverybonus	28		1	16														8	0	8	0	0		0	0	65535	0	0	0								48	19	0	3544	3544	5382								2	0	0	0	65535	65535	65535	ModStr3v	ModStr3v		
29	lastexp	29			32																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
30	nextexp	30			32																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
31	armorclass	31		1	16											17	10		10	10	11	10	0		0	0	65535	0	0	0								71	19	0	3481	3481	5382									0	0	0	65535	65535	65535	ModStr1i	ModStr1i		
32	armorclass_vs_missile	32		1	16											11	5		8	0	9	0	0		0	0	65535	0	0	0								69	19	0	3601	3601	5382									0	0	0	65535	65535	65535	ModStr6a	ModStr6a		
33	armorclass_vs_hth	33		1	16											13	7		8	0	8	0	0		0	0	65535	0	0	0								70	19	0	3602	3602	5382									0	0	0	65535	65535	65535	ModStr6b	ModStr6b		
34	normal_damage_reduction	34		1	10											188	200		6	0	6	0	0		0	0	65535	0	0	0								22	19	0	3519	3519	5382								2	0	0	0	65535	65535	65535	ModStr2u	ModStr2u		
35	magic_damage_reduction	35		1	10											397	340		6	0	6	0	0		0	0	65535	0	0	0								21	19	0	3518	3518	5382								2	0	0	0	65535	65535	65535	ModStr2t	ModStr2t		
36	damageresist	36		1	9											152	68		8	0	9	200	0		0	0	65535	0	0	0								22	19	0	23001	23001	5382								2	0	0	0	65535	65535	65535	ModStr2uPercent	ModStr2uPercent		
37	magicresist	37		1	9											164	68		8	0	9	200	0		0	0	65535	0	0	0								41	19	0	3485	3485	5382								2	0	0	0	65535	65535	65535	ModStr1m	ModStr1m		
38	maxmagicresist	38		1	9											1091	409		5	0	5	0	0		0	0	65535	0	0	0								46	19	0	3598	3598	5382								2	0	0	0	65535	65535	65535	ModStr5x	ModStr5x		
39	fireresist	39		1	9											43	20		8	0	9	200	0		0	0	65535	0	0	0								36	19	0	3482	3482	5382	2	19		strModAllResistances	strModAllResistances				0	0	0	65535	65535	65535	ModStr1j	ModStr1j		
40	maxfireresist	40		1	9											584	256		5	0	5	0	0		0	0	65535	0	0	0								42	19	0	3595	3595	5382	5	19		ModStrAllMaxRes	ModStrAllMaxRes				0	0	0	65535	65535	65535	ModStr5u	ModStr5u		
41	lightresist	41		1	9											43	20		8	0	9	200	0		0	0	65535	0	0	0								38	19	0	3484	3484	5382	2	19		strModAllResistances	strModAllResistances				0	0	0	65535	65535	65535	ModStr1l	ModStr1l		
42	maxlightresist	42		1	9											584	256		5	0	5	0	0		0	0	65535	0	0	0								43	19	0	3597	3597	5382	5	19		ModStrAllMaxRes	ModStrAllMaxRes				0	0	0	65535	65535	65535	ModStr5w	ModStr5w		
43	coldresist	43		1	9											43	20		8	0	9	200	0		0	0	65535	0	0	0								40	19	0	3483	3483	5382	2	19		strModAllResistances	strModAllResistances				0	0	0	65535	65535	65535	ModStr1k	ModStr1k		
44	maxcoldresist	44		1	9											584	256		5	0	5	0	0		0	0	65535	0	0	0								44	19	0	3596	3596	5382	5	19		ModStrAllMaxRes	ModStrAllMaxRes				0	0	0	65535	65535	65535	ModStr5v	ModStr5v		
45	poisonresist	45		1	9											43	20		8	0	9	200	0		0	0	65535	0	0	0								34	19	0	3486	3486	5382	2	19		strModAllResistances	strModAllResistances				0	0	0	65535	65535	65535	ModStr1n	ModStr1n		
46	maxpoisonresist	46		1	9											526	256		5	0	5	0	0		0	0	65535	0	0	0								45	19	0	3599	3599	5382	5	19		ModStrAllMaxRes	ModStrAllMaxRes				0	0	0	65535	65535	65535	ModStr5y	ModStr5y		
47	damageaura	47		1	16																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
48	firemindam	48		1	16											11	10		8	0	8	0	0		0	0	65535	0	0	0			1					102	19	0	3488	3488	5382									0	0	0	65535	65535	65535	ModStr1p	ModStr1p		
49	firemaxdam	49		1	16											19	10		8	0	9	0	0		0	0	65535	0	0	0			1					101	19	0	3487	3487	5382									0	0	0	65535	65535	65535	ModStr1o	ModStr1o		
50	lightmindam	50		1	16											12	10		6	0	6	0	0		0	0	65535	0	0	0			1					99	19	0	3490	3490	5382									0	0	0	65535	65535	65535	ModStr1r	ModStr1r		
51	lightmaxdam	51		1	16											17	10		9	0	10	0	0		0	0	65535	0	0	0			1					98	19	0	3489	3489	5382									0	0	0	65535	65535	65535	ModStr1q	ModStr1q		
52	magicmindam	52		1	16											196	20		6	0	8	0	0		0	0	65535	0	0	0			1					104	19	0	10032	10032	5382									0	0	0	65535	65535	65535	strModMagicDamage	strModMagicDamage		
53	magicmaxdam	53		1	16											183	20		7	0	9	0	0		0	0	65535	0	0	0			1					103	19	0	10032	10032	5382									0	0	0	65535	65535	65535	strModMagicDamage	strModMagicDamage		
54	coldmindam	54		1	16											451	512		6	0	8	0	0		0	0	65535	0	0	0			1					96	19	0	3492	3492	5382									0	0	0	65535	65535	65535	ModStr1t	ModStr1t		
55	coldmaxdam	55		1	16											128	340		8	0	9	0	0		0	0	65535	0	0	0			1					95	19	0	3491	3491	5382									0	0	0	65535	65535	65535	ModStr1s	ModStr1s		
56	coldlength	56		1	16											77	4		8	0	8	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
57	poisonmindam	57		1	19											12	28		9	0	10	0	0		0	0	65535	0	0	0			1					92	19	0	3557	3557	5382									0	0	0	65535	65535	65535	ModStr4i	ModStr4i		
58	poisonmaxdam	58		1	19											11	34		9	0	10	0	0		0	0	65535	0	0	0			1					91	19	0	3556	3556	5382									0	0	0	65535	65535	65535	ModStr4h	ModStr4h		
59	poisonlength	59		1	16											0	4		8	0	9	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
60	lifedrainmindam	60		1	16											1044	341		7	0	7	0	0		0	0	65535	0	0	0			1					88	19	0	3524	3524	5382								2	0	0	0	65535	65535	65535	ModStr2z	ModStr2z		
61	lifedrainmaxdam	61		1	16																0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
62	manadrainmindam	62		1	16											1179	341		7	0	7	0	0		0	0	65535	0	0	0			1					89	19	0	3523	3523	5382								2	0	0	0	65535	65535	65535	ModStr2y	ModStr2y		
63	manadrainmaxdam	63		1	16																0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
64	stamdrainmindam	64		1	16																0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
65	stamdrainmaxdam	65		1	16																0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
66	stunlength	66			16																0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
67	velocitypercent	67	1	1	10		1												7	30	7	30	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
68	attackrate	68	1	1	10		1												7	30	7	30	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
69	other_animrate	69	1	1	10		1														0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
70	quantity	70		1	16																0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
71	value	71		1	9														8	100	8	100	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
72	durability	72		1	9														8	0	9	0	0		0	0	65535	0	0	0	1	maxdurability						0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
73	maxdurability	73		1	9											9	4		8	0	8	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
74	hpregen	74														451	410		6	30	6	30	0		0	0	65535	0	0	0								56	19	0	3510	3521	5382								2	0	0	0	65535	65535	65535	ModStr2l	ModStr2w		
75	item_maxdurability_percent	75		1	7											117	10		7	20	7	20	0		13	0	65535	0	0	0								3	19	0	3507	3507	5382									0	0	0	maxdurability	65535	65535	ModStr2i	ModStr2i		
76	item_maxhp_percent	76		1	16											32093	204		6	10	6	10	0		11	0	65535	0	0	0								58	19	0	3505	3505	5382									0	0	0	maxhp	65535	65535	ModStr2g	ModStr2g		
77	item_maxmana_percent	77		1	16											56452	204		6	10	6	10	0		11	0	65535	0	0	0								54	19	0	3506	3506	5382									0	0	0	maxmana	65535	65535	ModStr2h	ModStr2h		
78	item_attackertakesdamage	78		1	16							1				112	128		7	0	7	0	0		0	0	65535	0	0	0				attackedinmelee	6			13	19	0	3494	3494	5382								2	0	0	0	65535	65535	65535	ModStr1v	ModStr1v		
79	item_goldbonus	79		1	12											187	34		9	100	9	100	0		0	0	65535	0	0	0								10	19	0	11032	11032	5382								2	0	0	0	65535	65535	65535	ModStr1w	ModStr1w		
80	item_magicbonus	80		1	12											577	102		8	100	9	100	0		0	0	65535	0	0	0								8	19	0	11033	11033	5382								2	0	0	0	65535	65535	65535	ModStr1x	ModStr1x		
81	item_knockback	81		1	8							1				105	0		7	0	7	0	0		0	0	65535	0	0	0			1	domeleedamage	7	domissiledamage	7	76	19	0	3497	3497	5382								2	0	0	0	65535	65535	65535	ModStr1y	ModStr1y		
82	item_timeduration	82		1	10														9	20	9	20	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
83	item_addclassskills	83		1	4	3						1				49523	1560		3	0	3	0	3		0	0	65535	0	0	0								150	13	0	3525	3525	5382									0	0	0	65535	65535	65535	ModStr3a	ModStr3a		
84	unsentparam1	84																	3	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
85	item_addexperience	85		1	9											36015	519		3	0	9	50	0		0	0	65535	0	0	0								11	19	0	10978	10978	5382								2	0	0	0	65535	65535	65535	Moditem2ExpG	Moditem2ExpG		
86	item_healafterkill	86		1	7							1				30	101		3	0	7	0	0		0	0	65535	0	0	0				kill	28			16	19	0	10979	10979	5382								2	0	0	0	65535	65535	65535	ModitemHPaK	ModitemHPaK		
87	item_reducedprices	87			8											18957	203		3	0	7	0	0		0	0	65535	0	0	0								8	19	0	10980	10980	5382								2	0	0	0	65535	65535	65535	ModitemRedVendP	ModitemRedVendP		
88	item_doubleherbduration	88		1	2														1	0	1	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
89	item_lightradius	89		1	5							1				15	51		4	4	4	4	0		0	0	65535	0	0	0								6	19	0	3530	3530	5382								2	0	0	0	65535	65535	65535	ModStr3f	ModStr3f		
90	item_lightcolor	90		1	24							1				155	0		5	0	24	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
91	item_req_percent	91		1	8											26	-34		8	100	8	100	0		0	0	65535	0	0	0								2	19	0	48085	3532	5382									0	0	0	65535	65535	65535	ModStr3h2	ModStr3h		
92	item_levelreq	92		1															8	20	8	6	0		0	0	65535	0	0	0								2	19	0	48073	48073	5382									0	0	0	65535	65535	65535	ItemStats2p	ItemStats2p		
93	item_fasterattackrate	93	1	1	9											1042	156		7	20	7	20	0		0	0	65535	0	0	0			1					145	19	0	3561	3561	5382								2	0	0	0	65535	65535	65535	ModStr4m	ModStr4m		
94	item_levelreqpct	94																	7	20	7	64	0		13	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	item_levelreq	65535	65535				
95	lastblockframe	95																	6	20	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
96	item_fastermovevelocity	96	1	1	9											4083	156		7	20	7	20	0		0	0	65535	0	0	0								148	19	0	3567	3567	5382								2	0	0	0	65535	65535	65535	ModStr4s	ModStr4s		
97	item_nonclassskill	97		1	15	9						1			1	181	327		7	20	6	0	9		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
98	state	98	1		1	8						1				415	64		6	20	1	0	8		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
99	item_fastergethitrate	99	1	1	9											1065	72		7	20	7	20	0		0	0	65535	0	0	0								139	19	0	3564	3564	5382								2	0	0	0	65535	65535	65535	ModStr4p	ModStr4p		
100	monster_playercount	100																	7	20	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
101	skill_poison_override_length	101			8														6	20	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
102	item_fasterblockrate	102	1	1	9											1484	72		7	20	7	20	0		0	0	65535	0	0	0								136	19	0	3573	3573	5382								2	0	0	0	65535	65535	65535	ModStr4y	ModStr4y		
103	skill_bypass_undead	103			1														7	20	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
104	skill_bypass_demons	104			1														6	20	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
105	item_fastercastrate	105	1	1	9											3876	156		7	20	7	20	0		0	0	65535	0	0	0								142	19	0	3570	3570	5382								2	0	0	0	65535	65535	65535	ModStr4v	ModStr4v		
106	skill_bypass_beasts	106			1														7	20	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
107	item_singleskill	107		1	15	9						1			1	181	256		14	0	3	0	9		0	0	65535	0	0	0								81	27	0	23004	23004	5382									0	0	0	65535	65535	65535	ItemModifierClassSkill	ItemModifierClassSkill		
108	item_restinpeace	108			1							1				1987	0		14	0	1	0	0		0	0	65535	0	0	0			1	kill	29			81	19	0	10981	10981	5382								2	0	0	0	65535	65535	65535	ModitemSMRIP	ModitemSMRIP		
109	curse_resistance	109			9											159	33		14	0	9	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
110	item_poisonlengthresist	110		1	9											27	10		8	20	8	20	0		0	0	65535	0	0	0								18	19	0	3542	3542	5382								2	0	0	0	65535	65535	65535	ModStr3r	ModStr3r		
111	item_normaldamage	111		1	8											94	100		7	20	9	20	0		0	0	65535	0	0	0			1					122	19	0	3576	3576	5382									0	0	0	65535	65535	65535	ModStr5b	ModStr5b		
112	item_howl	112		1	8							1				55	10		7	-1	7	-1	0		0	0	65535	0	0	0			1	domeleedamage	8	domissiledamage	8	79	5	0	11034	11034	5382								2	0	0	0	65535	65535	65535	ModStr3u	ModStr3u		
113	item_stupidity	113		1	8							1				332	1024		7	0	7	0	0		0	0	65535	0	0	0			1	domeleedamage	9	domissiledamage	9	80	12	2	11038	11038	5382								2	0	0	0	65535	65535	65535	ModStr6d	ModStr6d		
114	item_damagetomana	114		1	7							1				43	20		6	0	6	0	0		0	0	65535	0	0	0				damagedinmelee	13	damagedbymissile	13	11	19	0	3545	3545	5382								2	0	0	0	65535	65535	65535	ModStr3w	ModStr3w		
115	item_ignoretargetac	115		1	2											1088	1024		1	0	1	0	0		0	0	65535	0	0	0			1					119	19	0	3547	3547	5382								2	0	0	0	65535	65535	65535	ModStr3y	ModStr3y		
116	item_fractionaltargetac	116		1	8											67	20		7	0	7	0	0		0	0	65535	0	0	0			1					118	19	0	3589	3589	5382								2	0	0	0	65535	65535	65535	ModStr5o	ModStr5o		
117	item_preventheal	117		1	8											48	50		7	0	7	0	0		0	0	65535	0	0	0			1					81	19	0	3549	3549	5382								2	0	0	0	65535	65535	65535	ModStr4a	ModStr4a		
118	item_halffreezeduration	118		1	2											5096	988		1	0	1	0	0		0	0	65535	0	0	0								19	19	0	3550	3550	5382								2	0	0	0	65535	65535	65535	ModStr4b	ModStr4b		
119	item_tohit_percent	119		1	12											981	40		9	20	9	20	0		0	0	65535	0	0	0			1					117	19	0	11035	11035	5382									0	0	0	65535	65535	65535	ModStr4c	ModStr4c		
120	item_damagetargetac	120		1	8											24	-20		7	128	7	128	0		0	0	65535	0	0	0			1					75	19	0	3552	3552	5382								2	0	0	0	65535	65535	65535	ModStr4d	ModStr4d		
121	item_demondamage_percent	121		1	12											19	12		9	20	9	20	0		0	0	65535	0	0	0			1					112	19	0	3553	3553	5382								2	0	0	0	65535	65535	65535	ModStr4e	ModStr4e		
122	item_undeaddamage_percent	122		1	12											13	12		9	20	9	20	0		0	0	65535	0	0	0			1					108	19	0	3554	3554	5382								2	0	0	0	65535	65535	65535	ModStr4f	ModStr4f		
123	item_demon_tohit	123		1	13											15	7		10	128	10	128	0		0	0	65535	0	0	0			1					110	19	0	3558	3558	5382									0	0	0	65535	65535	65535	ModStr4j	ModStr4j		
124	item_undead_tohit	124		1	13											11	7		10	128	10	128	0		0	0	65535	0	0	0			1					106	19	0	3559	3559	5382									0	0	0	65535	65535	65535	ModStr4k	ModStr4k		
125	item_throwable	125		1	2											82	1024		1	0	1	0	0		0	0	65535	0	0	0								5	19	0	3575	3575	5382									0	0	0	65535	65535	65535	ModStr5a	ModStr5a		
126	item_elemskill	126		1	3	3						1				76	1024		4	0	3	0	3		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
127	item_allskills	127		1	8							1				15123	4096		3	0	3	0	0		0	0	65535	0	0	0								158	19	0	3535	3535	5382									0	0	0	65535	65535	65535	ModStr3k	ModStr3k		
128	item_attackertakeslightdamage	128		1	6							1				4	102		5	0	5	0	0		0	0	65535	0	0	0				damagedinmelee	10			14	19	0	3534	3534	5382								2	0	0	0	65535	65535	65535	ModStr3j	ModStr3j		
129	ironmaiden_level	129		1	10																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
130	lifetap_level	130		1	10																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
131	thorns_percent	131			12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
132	bonearmor	132		1	32																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
133	bonearmormax	133		1	32																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
134	item_freeze	134		1	5							1				666	12		5	0	5	0	0		0	0	65535	0	0	0			1	domeleedamage	14	domissiledamage	14	78	12	2	3536	3536	5382								2	0	0	0	65535	65535	65535	ModStr3l	ModStr3l		
135	item_openwounds	135		1	7							1				23	10		7	0	7	0	0		0	0	65535	0	0	0			1	domeleedamage	15	domissiledamage	15	83	19	0	3537	3537	5382								2	0	0	0	65535	65535	65535	ModStr3m	ModStr3m		
136	item_crushingblow	136		1	7							1				98	40		7	0	7	0	0		0	0	65535	0	0	0			1	domeleedamage	16	domissiledamage	16	87	19	0	3577	3577	5382								2	0	0	0	65535	65535	65535	ModStr5c	ModStr5c		
137	item_kickdamage	137		1	7											77	51		7	0	7	0	0		0	0	65535	0	0	0								121	19	0	3579	3579	5382									0	0	0	65535	65535	65535	ModStr5e	ModStr5e		
138	item_manaafterkill	138		1	7							1				17	102		7	0	7	0	0		0	0	65535	0	0	0				kill	17			16	19	0	3580	3580	5382								2	0	0	0	65535	65535	65535	ModStr5f	ModStr5f		
139	item_healafterdemonkill	139		1	7							1				18	102		7	0	7	0	0		0	0	65535	0	0	0				kill	18			15	19	0	3603	3603	5382								2	0	0	0	65535	65535	65535	ModStr6c	ModStr6c		
140	item_extrablood	140		1	7											15	10		7	0	7	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
141	item_deadlystrike	141		1	7											31	25		7	0	7	0	0		0	0	65535	0	0	0			1					85	19	0	3591	3591	5382								2	0	0	0	65535	65535	65535	ModStr5q	ModStr5q		
142	item_absorbfire_percent	142		1	7											5486	102		7	0	7	0	0		0	0	65535	0	0	0								23	19	0	3581	3581	5382								2	0	0	0	65535	65535	65535	ModStr5g	ModStr5g		
143	item_absorbfire	143		1	7											1739	204		7	0	7	0	0		0	0	65535	0	0	0								27	19	0	3582	3582	5382								2	0	0	0	65535	65535	65535	ModStr5h	ModStr5h		
144	item_absorblight_percent	144		1	7											5486	102		7	0	7	0	0		0	0	65535	0	0	0								24	19	0	3583	3583	5382								2	0	0	0	65535	65535	65535	ModStr5i	ModStr5i		
145	item_absorblight	145		1	7											1739	204		7	0	7	0	0		0	0	65535	0	0	0								29	19	0	3584	3584	5382								2	0	0	0	65535	65535	65535	ModStr5j	ModStr5j		
146	item_absorbmagic_percent	146		1	7											5486	102		7	0	7	0	0		0	0	65535	0	0	0								26	19	0	3585	3585	5382								2	0	0	0	65535	65535	65535	ModStr5k	ModStr5k		
147	item_absorbmagic	147		1	7											1739	204		7	0	7	0	0		0	0	65535	0	0	0								33	19	0	3586	3586	5382								2	0	0	0	65535	65535	65535	ModStr5l	ModStr5l		
148	item_absorbcold_percent	148		1	7											5486	102		7	0	7	0	0		0	0	65535	0	0	0								25	19	0	3587	3587	5382								2	0	0	0	65535	65535	65535	ModStr5m	ModStr5m		
149	item_absorbcold	149		1	7											1739	204		7	0	7	0	0		0	0	65535	0	0	0								31	19	0	3588	3588	5382								2	0	0	0	65535	65535	65535	ModStr5n	ModStr5n		
150	item_slow	150		1	7							1				101	40		7	0	7	0	0		0	0	65535	0	0	0			1	domeleedamage	19	domissiledamage	19	77	19	0	11036	11036	5382								2	0	0	0	65535	65535	65535	ModStr5r	ModStr5r		
