INDEX	code	___Enabled	___Tooltip	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	___Parameter	___Min	___Max	___Notes	___eol	stat1__STR	stat2__STR	stat3__STR	stat4__STR	stat5__STR	stat6__STR	stat7__STR	
17	cold-min	1	+# to Minimum Cold Damage	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	coldmindam							
18	cold-max	1	+# to Maximum Cold Damage	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	coldmaxdam							
19	cold-len	1		1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	# of Frames (25 Frames = 1 Second)	0	coldlength							
20	fire-min	1	+# to Minimum Fire Damage	1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	firemindam							
21	fire-max	1	+# to Maximum Fire Damage	1	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	firemaxdam							
22	ltng-min	1	+# to Minimum Lightning Damage	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	lightmindam							
23	ltng-max	1	+# to Maximum Lightning Damage	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	lightmaxdam							
24	pois-min	1	+# to Minimum Poison Damage	1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	poisonmindam							
25	pois-max	1	+# to Maximum Poison Damage	1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	poisonmaxdam							
26	pois-len	1		1	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	# of Frames (25 Frames = 1 Second)	0	poisonlength							
27	dmg-min	1	+# to Minimum Damage	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0								
28	dmg-max	1	+# to Maximum Damage	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0								
29	dmg%	1	+#% Enhanced Damage	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0								
30	dmg-to-mana	1	#% Damage Taken Goes To Mana	1	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_damagetomana							
31	res-fire	1	Fire Resist +#%	1	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	fireresist							
32	res-fire-max	1	+#% to Maximum Fire Resist	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	maxfireresist							
33	res-ltng	1	Lightning Resist +#%	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	lightresist							
34	res-ltng-max	1	+#% to Maximum Lightning Resist	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	maxlightresist							
35	res-cold	1	Cold Resist +#%	1	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	coldresist							
36	res-cold-max	1	+#% to Maximum Cold Resist	1	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	maxcoldresist							
37	res-mag	1	Magic Resist +#%	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	magicresist							
38	res-mag-max	1	+#% to Maximum Magic Resist	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	maxmagicresist							
39	res-pois	1	Poison Resist +#%	1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	poisonresist							
40	res-pois-max	1	+#% to Maximum Poison Resist	1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	maxpoisonresist							
41	res-all	1	All Resistances +#	1	39	0	0	3	41	0	0	3	43	0	0	3	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	fireresist	lightresist	coldresist	poisonresist				
42	res-all-max	1		1	40	0	0	3	42	0	0	3	44	0	0	3	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %	#% All Maximum Resistances	0	maxfireresist	maxlightresist	maxcoldresist	maxpoisonresist				
43	abs-fire%	1	+# Fire Absorb	1	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_absorbfire_percent							
44	abs-fire	1	Fire Absorb #%	1	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_absorbfire							
45	abs-ltng%	1	+# Lightning Absorb	1	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_absorblight_percent							
46	abs-ltng	1	Lightning Absorb #%	1	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_absorblight							
47	abs-mag%	1	+# Magic Absorb	1	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_absorbmagic_percent							
48	abs-mag	1	Magic Absorb #%	1	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_absorbmagic							
49	abs-cold%	1	+# Cold Absorb	1	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_absorbcold_percent							
50	abs-cold	1	Cold Absorb #%	1	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_absorbcold							
51	dur	1	Durability: # of #	1	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	maxdurability							
52	dur%	1	Increase Maximum Durability #%	13	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_maxdurability_percent							
53	regen	1	Replenish Life +#	1	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	hpregen							
54	thorns	1	Attacker Takes Damage of #	1	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_attackertakesdamage							
55	swing1	1	+#% Increased Attack Speed	8	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fasterattackrate							
56	swing2	1	+#% Increased Attack Speed	8	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fasterattackrate							
57	swing3	1	+#% Increased Attack Speed	8	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fasterattackrate							
58	gold%	1	#% Extra Gold from Monsters	1	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_goldbonus							
59	mag%	1	#% Better Chance of Getting Magic Items	1	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_magicbonus							
60	knock	1	Knockback	1	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1		0	item_knockback							
61	regen-stam	1	Heal Stamina Plus #%	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	staminarecoverybonus							
62	regen-mana	1	Regenerate Mana #%	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	manarecoverybonus							
63	stam	1	+# Maximum Stamina	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	maxstamina							
64	time	1		1	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	Currently Not Used	0	item_timeduration							
65	manasteal	1	#% Mana stolen per hit	1	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	manadrainmindam							
66	lifesteal	1	#% Life stolen per hit	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	lifedrainmindam							
67	ama	1	+# to Amazon Skill Levels	21	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
68	pal	1	+# to Paladin Skill Levels	21	83	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
69	nec	1	+# to Necromancer Skill Levels	21	83	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
70	sor	1	+# to Sorceress Skill Levels	21	83	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
71	bar	1	+#  to Barbarian Skill Levels	21	83	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
72	herb	1		1	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	Currently Not Used	0	item_doubleherbduration							
73	light	1	+# to Light Radius	1	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_lightradius							
74	color	1		1	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	Currently Not Used	0	item_lightcolor							
75	ease	1	Requirements -#%	1	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_req_percent							
76	move1	1	+#% Faster Run/Walk	8	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastermovevelocity							
77	move2	1	+#% Faster Run/Walk	8	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastermovevelocity							
78	move3	1	+#% Faster Run/Walk	8	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastermovevelocity							
79	balance1	1	+#% Faster Hit Recovery	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastergethitrate							
80	balance2	1	+#% Faster Hit Recovery	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastergethitrate							
81	balance3	1	+#% Faster Hit Recovery	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastergethitrate							
82	block1	1	+#% Faster Block Rate	8	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fasterblockrate							
83	block2	1	+#% Faster Block Rate	8	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fasterblockrate							
84	block3	1	+#% Faster Block Rate	8	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fasterblockrate							
85	cast1	1	+#% Faster Cast Rate	8	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastercastrate							
86	cast2	1	+#% Faster Cast Rate	8	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastercastrate							
87	cast3	1	+#% Faster Cast Rate	8	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_fastercastrate							
88	res-pois-len	1	Poison Length Reduced by #%	1	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_poisonlengthresist							
89	dmg	1	Damage +#	1	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_normaldamage							
90	howl	1	Hit Causes Monster to Flee #%	1	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %/128	Max %/128		0	item_howl							
91	stupidity	1	Hit Blinds Target +#	1	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_stupidity							
92	ignore-ac	1	Ignore Target's Defense	1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1		0	item_ignoretargetac							
93	reduce-ac	1	-#% Target Defense	1	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_fractionaltargetac							
94	noheal	1	Prevent Monster Heal	1	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1		0	item_preventheal							
95	half-freeze	1	Half Freeze Duration	1	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1		0	item_halffreezeduration							
96	att%	1	#% Bonus to Attack Rating	1	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_tohit_percent							
97	dmg-ac	1	-# to Monster Defense Per Hit	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_damagetargetac							
98	dmg-demon	1	+#% Damage to Demons	1	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_demondamage_percent							
99	dmg-undead	1	+#% Damage to Undead	1	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_undeaddamage_percent							
100	att-demon	1	+# to Attack Rating against Demons	1	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_demon_tohit							
101	att-undead	1	+# to Attack Rating against Undead	1	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_undead_tohit							
102	throw	1		1	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	Currently Not Used	0	item_throwable							
103	fireskill	1	+# to Fire Skills	21	126	0	1	1	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_elemskill	item_elemskillfire						
104	allskills	1	+# to All Skills	1	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_allskills							
105	light-thorns	1	Attacker Takes Lightning Damage of #	1	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_attackertakeslightdamage							
106	freeze	1	Freezes Target +#	1	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_freeze							
107	openwounds	1	#% Chance of Open Wounds	1	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_openwounds							
108	crush	1	#% Chance of Crushing Blow	1	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_crushingblow							
109	kick	1	+# Kick Damage	1	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_kickdamage							
110	mana-kill	1	+# to Mana after each Kill	1	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_manaafterkill							
111	demon-heal	1	+# Life after each Demon Kill	1	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_healafterdemonkill							
112	bloody	1		1	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	Visuals Only	0	item_extrablood							
113	deadly	1	#% Deadly Strike	1	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_deadlystrike							
114	slow	1	Slows Target by #%	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_slow							
115	nofreeze	1	Cannot Be Frozen	1	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1		0	item_cannotbefrozen							
116	stamdrain	1	#% Slower Stamina Drain	1	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_staminadrainpct							
117	reanimate	1	Reanimate As: [Returned]	24	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	monstats.txt hcIdx	Min %	Max %		0	item_reanimate							
118	pierce	1	Piercing Attack	1	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_pierce							
119	magicarrow	1	Fires Magic Arrows	1	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_magicarrow							
120	explosivearrow	1	Fires Explosive Arrows or Bolts	1	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_explosivearrow							
121	dru	1	+# to Druid Skill Levels	21	83	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
122	ass	1	+# to Assassin Skill Levels	21	83	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_addclassskills							
123	skill	1	+# to [Skill] ([Class] only)	22	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skill	Min #	Max #		0	item_singleskill							
124	skilltab	1	+# to [Class Skill Tab] Skills	10	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Class Skill Tab ID	Min #	Max #	[Class Skill Tab ID] = (Amazon = 0-2, Sorceress = 3-5, Necromancer = 6-8, Paladin = 9-11, Barbarian = 12-14, Druid = 15-17,  Assassin = 18-20)	0	item_addskill_tab							
125	aura	1	Level # [Skill] Aura When Equipped	22	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skill	Min #	Max #		0	item_aura							
126	att-skill	1	#% Chance to cast level # [Skill] on attack	11	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skill	% Chance (If 0, then default to 5)	Skill Level		0	item_skillonattack							
127	hit-skill	1	#% Chance to cast level # [Skill] on striking	11	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skill	% Chance (If 0, then default to 5)	Skill Level		0	item_skillonhit							
128	gethit-skill	1	#% Chance to cast level # [Skill] when struck	11	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skill	% Chance (If 0, then default to 5)	Skill Level		0	item_skillongethit							
129	sock	1	Socketed (#)	14	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	item_numsockets							
130	dmg-fire	1	Adds #-# Fire Damage	15	48	0	0	16	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	firemindam	firemaxdam						
131	dmg-ltng	1	Adds #-# Lightning Damage	15	50	0	0	16	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	lightmindam	lightmaxdam						
132	dmg-mag	1	Adds #-# Magic Damage	15	52	0	0	16	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	magicmindam	magicmaxdam						
133	dmg-cold	1	Adds #-# Cold Damage	15	54	0	0	16	55	0	0	17	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0	coldmindam	coldmaxdam	coldlength					
134	dmg-pois	1	Adds #-# Poison Damage Over # Seconds	15	57	0	0	16	58	0	0	17	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0	poisonmindam	poisonmaxdam	poisonlength					
135	dmg-throw	1		15	159	0	0	16	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #	Currently Not Used	0	item_throw_mindamage	item_throw_maxdamage						
136	dmg-norm	1	Adds #-# Damage	15	21	0	0	16	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	mindamage	maxdamage						
137	ac/lvl	1	+# Defense (Based on Character Level)	17	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ac/lvl (8ths)				0	item_armor_perlevel							
