INDEX	Name	___ Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add	code	mod1code__STR	mod1param__STR	mod2code__STR	mod2param__STR	mod3code__STR	mod3param__STR	itype1__STR	itype2__STR	itype3__STR	itype4__STR	itype5__STR	itype6__STR	itype7__STR	etype1__STR	etype2__STR	etype3__STR	etype4__STR	etype5__STR	
25	of Craftsmanship	+# to Maximum Damage	100	1	1	24	29	22				48	14	28	0	4	5	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Craftsmanship	dmg-max	0		0		0	circ												
26	of Quality	+# to Maximum Damage	100	1	1	37		35				48	14	28	0	6	7	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Quality	dmg-max	0		0		0	circ												
27	of Quality	+# to Maximum Damage	100	1	1	48		46				48	14	28	0	8	9	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Quality	dmg-max	0		0		0	circ												
28	of Maiming	+# to Maximum Damage	100	1	1	66		62				48	14	28	0	10	12	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Maiming	dmg-max	0		0		0	circ												
29	of Maiming	+# to Maximum Damage	100	1	1	79		74				48	14	28	0	13	15	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Maiming	dmg-max	0		0		0	circ												
30	of Ire	+# to Maximum Damage	100	1	1	4		3				48	14	28	0	2	5	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Ire	dmg-max	0		0		0	jewl												
31	of Wrath	+# to Maximum Damage	100	1	1	16		11				48	14	28	0	6	9	-1	0	0	0	-1	0	0	0	blac	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Wrath	dmg-max	0		0		0	jewl												
32	of Carnage	+# to Maximum Damage	100	1	1	35		30				48	14	28	0	10	15	-1	0	0	0	-1	0	0	0	blac	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Carnage	dmg-max	0		0		0	jewl												
33	of Carnage	+# to Maximum Damage	100	1	1	67		55				48	14	28	0	16	20	-1	0	0	0	-1	0	0	0	blac	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Carnage	dmg-max	0		0		0	jewl												
34	of Worth	+# to Minimum Damage	100	1	1	1	20	1				96	15	27	0	1	2	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Worth	dmg-min	0		0		0	weap							orb	wand				
35	of Measure	+# to Minimum Damage	100	1	1	12	30	9				84	15	27	0	3	4	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Measure	dmg-min	0		0		0	weap							orb	wand				
36	of Excellence	+# to Minimum Damage	100	1	1	24	45	18				72	15	27	0	5	8	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Excellence	dmg-min	0		0		0	weap							orb	wand				
37	of Performance	+# to Minimum Damage	100	1	1	48	55	40				60	15	27	0	9	14	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Performance	dmg-min	0		0		0	weap							orb	wand				
38	of Transcendence	+# to Minimum Damage	100	1	1	76	65	68				48	15	27	0	15	20	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Transcendence	dmg-min	0		0		0	weap							orb	wand				
39	of Transcendence	+# to Minimum Damage	100	1	1	82		75				36	15	27	0	30	40	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Transcendence	dmg-min	0		0		0	weap							orb	wand				
40	of Transcendence	+# to Minimum Damage	100	1	1	85		83				24	15	27	0	50	60	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	68	25	0	0	0	0	0	of Transcendence	dmg-min	0		0		0	weap							orb	wand				
41	of Worth	+# to Minimum Damage	100	1	1	15		11				32	15	27	0	2	3	-1	0	0	0	-1	0	0	0		10	12	75	0	0	0	0	0	0	0	0	0	0	0	of Worth	dmg-min	0		0		0	ring	amul	circ										
42	of Measure	+# to Minimum Damage	100	1	1	37		29				32	15	27	0	4	5	-1	0	0	0	-1	0	0	0		10	12	75	0	0	0	0	0	0	0	0	0	0	0	of Measure	dmg-min	0		0		0	ring	amul	circ										
43	of Excellence	+# to Minimum Damage	100	1	1	59		51				32	15	27	0	6	9	-1	0	0	0	-1	0	0	0		10	12	75	0	0	0	0	0	0	0	0	0	0	0	of Excellence	dmg-min	0		0		0	ring	amul	circ										
44	of Performance	+# to Minimum Damage	100	1	1	81		73				32	15	27	0	10	13	-1	0	0	0	-1	0	0	0		10	12	75	0	0	0	0	0	0	0	0	0	0	0	of Performance	dmg-min	0		0		0	ring	amul	circ										
45	of Joyfulness	+# to Minimum Damage	100	1	1	5	50	3				32	15	27	0	1	4	-1	0	0	0	-1	0	0	0	whit	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Joyfulness	dmg-min	0		0		0	jewl												
46	of Bliss	+# to Minimum Damage	100	1	1	43		37				32	15	27	0	5	10	-1	0	0	0	-1	0	0	0	whit	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Bliss	dmg-min	0		0		0	jewl												
47	of Frost	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	4	35	3				60	10	17	0	1	1	18	0	1	2	19	0	50	50		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Frost	cold-min	0	cold-max	0	cold-len	0	weap							wand	orb				
48	of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	13	50	9				48	10	17	0	1	1	18	0	3	4	19	0	75	75		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of the Icicle	cold-min	0	cold-max	0	cold-len	0	weap							wand	orb				
49	of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	27	70	20				36	10	17	0	2	4	18	0	4	15	19	0	100	100	dblu	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of the Glacier	cold-min	0	cold-max	0	cold-len	0	weap							wand	orb				
50	of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	45		37				24	10	17	0	5	9	18	0	16	50	19	0	150	150	dblu	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Winter	cold-min	0	cold-max	0	cold-len	0	weap							wand	orb				
51	of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	60		50				12	10	17	0	20	30	18	0	75	100	19	0	150	150	dblu	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Winter	cold-min	0	cold-max	0	cold-len	0	weap							wand	orb				
52	of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	80		75				12	10	17	0	35	45	18	0	100	150	19	0	150	150	dblu	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Winter	cold-min	0	cold-max	0	cold-len	0	weap							wand	orb				
53	of Frost	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	55		41				24	10	17	0	1	1	18	0	3	6	19	0	75	75	dblu	19	12	0	0	0	0	0	0	0	0	0	0	0	0	of Frost	cold-min	0	cold-max	0	cold-len	0	belt	amul											
54	of Frigidity	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	65		55				24	10	17	0	1	1	18	0	7	10	19	0	100	100	dblu	19	12	0	0	0	0	0	0	0	0	0	0	0	0	of Frigidity	cold-min	0	cold-max	0	cold-len	0	belt	amul											
55	of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	75		68				24	10	17	0	2	3	18	0	11	15	19	0	125	125	dblu	19	12	0	0	0	0	0	0	0	0	0	0	0	0	of the Icicle	cold-min	0	cold-max	0	cold-len	0	belt	amul											
56	of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	85		81				24	10	17	0	4	5	18	0	16	25	19	0	150	150	dblu	19	12	0	0	0	0	0	0	0	0	0	0	0	0	of the Glacier	cold-min	0	cold-max	0	cold-len	0	belt	amul											
57	of Frigidity	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	16		12				24	10	17	0	1	1	18	0	3	5	19	0	50	50	dblu	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Frigidity	cold-min	0	cold-max	0	cold-len	0	jewl												
58	of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	37		29				24	10	17	0	2	3	18	0	6	10	19	0	75	75	dblu	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Icicle	cold-min	0	cold-max	0	cold-len	0	jewl												
59	of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	58		50				24	10	17	0	4	5	18	0	11	15	19	0	100	100	dblu	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Glacier	cold-min	0	cold-max	0	cold-len	0	jewl												
60	of Flame	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	4	35	3				60	12	20	0	1	1	21	0	2	5	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Flame	fire-min	0	fire-max	0		0	weap							wand	orb				
61	of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	15	50	11				48	12	20	0	1	4	21	0	6	11	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Fire	fire-min	0	fire-max	0		0	weap							wand	orb				
62	of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	25	70	18				36	12	20	0	5	9	21	0	10	20	-1	0	0	0	dred	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Burning	fire-min	0	fire-max	0		0	weap							wand	orb				
63	of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	43		35				24	12	20	0	10	20	21	0	21	75	-1	0	0	0	dred	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Incineration	fire-min	0	fire-max	0		0	weap							wand	orb				
64	of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	60		50				12	12	20	0	40	60	21	0	170	200	-1	0	0	0	dred	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Incineration	fire-min	0	fire-max	0		0	weap							wand	orb				
65	of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	80		75				12	12	20	0	75	100	21	0	200	250	-1	0	0	0	dred	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Incineration	fire-min	0	fire-max	0		0	weap							wand	orb				
66	of Flame	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	40		30				24	12	20	0	1	1	21	0	2	5	-1	0	0	0	dred	16	10	12	0	0	0	0	0	0	0	0	0	0	0	of Flame	fire-min	0	fire-max	0		0	glov	ring	amul										
67	of Passion	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	55		51				24	12	20	0	1	3	21	0	6	10	-1	0	0	0	dred	16	10	12	0	0	0	0	0	0	0	0	0	0	0	of Passion	fire-min	0	fire-max	0		0	glov	ring	amul										
68	of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	65		62				24	12	20	0	4	10	21	0	11	30	-1	0	0	0	dred	16	10	12	0	0	0	0	0	0	0	0	0	0	0	of Fire	fire-min	0	fire-max	0		0	glov	ring	amul										
69	of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	80		74				24	12	20	0	11	25	21	0	31	50	-1	0	0	0	dred	16	10	12	0	0	0	0	0	0	0	0	0	0	0	of Burning	fire-min	0	fire-max	0		0	glov	ring	amul										
70	of Passion	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	15		11				24	12	20	0	1	3	21	0	6	10	-1	0	0	0	dred	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Passion	fire-min	0	fire-max	0		0	jewl												
71	of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	36		28				24	12	20	0	4	10	21	0	11	30	-1	0	0	0	dred	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Fire	fire-min	0	fire-max	0		0	jewl												
72	of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	57		49				24	12	20	0	11	25	21	0	31	50	-1	0	0	0	dred	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Burning	fire-min	0	fire-max	0		0	jewl												
73	of Shock	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	4	35	3				60	13	22	0	1	1	23	0	6	8	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Shock	ltng-min	0	ltng-max	0		0	weap							wand	orb				
74	of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	15	50	11				48	13	22	0	1	1	23	0	9	16	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Lightning	ltng-min	0	ltng-max	0		0	weap							wand	orb				
75	of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	25	70	18				36	13	22	0	1	1	23	0	17	40	-1	0	0	0	dyel	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Thunder	ltng-min	0	ltng-max	0		0	weap							wand	orb				
76	of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	34		26				24	13	22	0	1	6	23	0	41	120	-1	0	0	0	dyel	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Storms	ltng-min	0	ltng-max	0		0	weap							wand	orb				
77	of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	50		49				12	13	22	0	1	12	23	0	250	300	-1	0	0	0	dyel	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Storms	ltng-min	0	ltng-max	0		0	weap							wand	orb				
78	of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	75		68				12	13	22	0	1	20	23	0	300	350	-1	0	0	0	dyel	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Storms	ltng-min	0	ltng-max	0		0	weap							wand	orb				
79	of Shock	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	50		37				24	13	22	0	1	1	23	0	11	23	-1	0	0	0		15	10	12	0	0	0	0	0	0	0	0	0	0	0	of Shock	ltng-min	0	ltng-max	0		0	boot	ring	amul										
80	of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	65		57				24	13	22	0	1	1	23	0	24	50	-1	0	0	0	dyel	15	10	12	0	0	0	0	0	0	0	0	0	0	0	of Lightning	ltng-min	0	ltng-max	0		0	boot	ring	amul										
81	of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	75		70				24	13	22	0	1	1	23	0	51	75	-1	0	0	0	dyel	15	10	12	0	0	0	0	0	0	0	0	0	0	0	of Thunder	ltng-min	0	ltng-max	0		0	boot	ring	amul										
82	of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	86		80				24	13	22	0	1	1	23	0	76	100	-1	0	0	0	dyel	15	10	12	0	0	0	0	0	0	0	0	0	0	0	of Storms	ltng-min	0	ltng-max	0		0	boot	ring	amul										
83	of Ennui	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	15		11				24	13	22	0	1	1	23	0	10	20	-1	0	0	0	dyel	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Ennui	ltng-min	0	ltng-max	0		0	jewl												
84	of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	36		28				24	13	22	0	1	1	23	0	21	60	-1	0	0	0	dyel	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Lightning	ltng-min	0	ltng-max	0		0	jewl												
85	of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	57		49				24	13	22	0	1	1	23	0	61	100	-1	0	0	0	dyel	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Thunder	ltng-min	0	ltng-max	0		0	jewl												
86	of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	5	35	3				60	16	134	75	24	24	-1	0	0	0	-1	0	0	0		45	75	0	0	0	0	0	55	68	0	0	0	0	0	of Blight	dmg-pois		0		0	weap	circ						rod	orb				
87	of Venom	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	15	50	11				48	16	134	100	54	54	-1	0	0	0	-1	0	0	0		45	75	0	0	0	0	0	55	68	0	0	0	0	0	of Venom	dmg-pois		0		0	weap	circ						rod	orb				
88	of Pestilence	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	25	70	18				36	16	134	125	103	103	-1	0	0	0	-1	0	0	0	dgrn	45	75	0	0	0	0	0	55	68	0	0	0	0	0	of Pestilence	dmg-pois		0		0	weap	circ						rod	orb				
89	of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	33		25				24	16	134	150	171	171	-1	0	0	0	-1	0	0	0	dgrn	45	75	0	0	0	0	0	55	68	0	0	0	0	0	of Anthrax	dmg-pois		0		0	weap	circ						rod	orb				
90	of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	45		33				24	16	134	75	171	171	-1	0	0	0	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of Blight	dmg-pois		0		0	ring	amul											
91	of Venom	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	65		55				12	16	134	75	266	266	-1	0	0	0	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of Venom	dmg-pois		0		0	ring	amul											
92	of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	85		72				12	16	134	75	377	377	-1	0	0	0	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of Blight	dmg-pois		0		0	ring	amul											
93	of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	1		1				24	16	134	50	103	103	-1	0	0	0	-1	0	0	0	dgrn	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Anthrax	dmg-pois		0		0	jewl												
94	of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	44		33				24	16	134	50	206	206	-1	0	0	0	-1	0	0	0	dgrn	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Anthrax	dmg-pois		0		0	jewl												
95	of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	77		66				24	16	134	50	309	309	-1	0	0	0	-1	0	0	0	dgrn	58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Anthrax	dmg-pois		0		0	jewl												
96	of Warmth	Half Freeze Duration	100	1	1	10		7				48	11	95	0	1	1	-1	0	0	0	-1	0	0	0		51	15	16	10	12	75	68	0	0	0	0	0	0	0	of Warmth	half-freeze	0		0		0	shld	boot	glov	ring	amul	circ	orb						
97	of Warmth	Cannot Be Frozen	100	1	1	77		69				24	11	115	0	1	1	-1	0	0	0	-1	0	0	0		51	15	16	10	12	75	68	0	0	0	0	0	0	0	of Warmth	nofreeze	0		0		0	shld	boot	glov	ring	amul	circ	orb						
98	of Defiance	Poison Length Reduced by #%	100	1	1	44		39				24	29	88	0	75	90	-1	0	0	0	-1	0	0	0	dred	3	51	12	75	0	0	0	0	0	0	0	0	0	0	of Defiance	res-pois-len	0		0		0	tors	shld	amul	circ									
99	of Amelioration	Poison Length Reduced by #%	100	1	1	25		18				36	29	88	0	50	74	-1	0	0	0	-1	0	0	0		3	51	12	75	0	0	0	0	0	0	0	0	0	0	of Amelioration	res-pois-len	0		0		0	tors	shld	amul	circ									
100	of Remedy	Poison Length Reduced by #%	100	1	1	18	50	13				36	29	88	0	25	49	-1	0	0	0	-1	0	0	0		50	10	12	75	0	0	0	0	0	0	0	0	0	0	of Remedy	res-pois-len	0		0		0	armo	ring	amul	circ									
101	of Remedy	Poison Length Reduced by #%	100	1	1	1	25	1				36	29	88	0	10	24	-1	0	0	0	-1	0	0	0		50	10	12	75	0	0	0	0	0	0	0	0	0	0	of Remedy	res-pois-len	0		0		0	armo	ring	amul	circ									
102	of the Leech	#% Life stolen per hit	100	1	1	6		4				84	27	66	0	4	5	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	68	0	0	0	0	0	0	of the Leech	lifesteal	0		0		0	weap							orb					
103	of the Locust	#% Life stolen per hit	100	1	1	20		15				84	27	66	0	6	7	-1	0	0	0	-1	0	0	0	cred	45	0	0	0	0	0	0	68	0	0	0	0	0	0	of the Locust	lifesteal	0		0		0	weap							orb					
